DORMANS - EPERNAY (HIGH ROUTE)    36.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [stop] barge Dormans
    0.0 km   Start of ride
    0.1 km   Turn right
    0.2 km   Turn right
  ★ 0.2 km  [note] memorial Dormans
    0.6 km   At roundabout take exit 1; cross bridge
  ★ 0.6 km  [bar] bar
  ★ 0.8 km  [dock/stay] barge Château-Thierry
  ★ 0.8 km  [convenience_store] Supermarket
  ★ 0.8 km  [start] locks Mont Saint-Père
    0.8 km   Turn left
    0.8 km   Turn left
    0.9 km   Turn left
  ★ 2.3 km  [winery] Champagne Piot
  ★ 2.3 km  [bar] bar Vincelles
  ★ 2.6 km  [rest_stop] picknick spot
  ★ 4.6 km  [bar] Bar Verneuil
  ★ 9.3 km  [winery] Champagne Nowack
  ★ 15.5 km  [bar] Bars Châtillon sur Marne
  ★ 15.8 km  [note] View point + statue Urbanus
  ★ 24.8 km  [note] steep hill
  ★ 25.0 km  [note] panorama
  ★ 25.2 km  [note] steep hill
  ★ 27.6 km  [bar] bar at river
  ★ 36.8 km  [dock/stay] barge Epernay
