MAASTRICHT LOOP    11.8 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Maastricht
    0.0 km   Links abbiegen
    0.7 km   Rechts abbiegen zum Knotenpunkt 03
    0.8 km   Links abbiegen
    1.0 km   Links abbiegen
    1.1 km   Rechts abbiegen
    1.1 km   Rechts abbiegen
    1.3 km   Links halten
    1.4 km   Geradeaus fahren
    1.4 km   Rechts abbiegen
    1.4 km   Links abbiegen
    1.5 km   Rechts abbiegen
    1.7 km   Links halten
    1.8 km   Rechts abbiegen
    1.9 km   Links abbiegen; Straße überqueren
    1.9 km   Links abbiegen zum Knotenpunkt 12
    2.0 km   Rechts abbiegen
    2.1 km   Rechts halten zum Knotenpunkt 401
    2.4 km   Rechts halten
    2.6 km   Rechts abbiegen
    3.1 km   Links abbiegen
    3.3 km   Rechts abbiegen (follow 2.1 km)
    5.4 km   Scharf rechts abbiegen
    5.7 km   Rechts abbiegen
    5.9 km   Rechts abbiegen (follow 2.6 km)
  ★ 6.3 km  [note] Chateau Neerkanne
    8.5 km   Links abbiegen
    9.4 km   Links abbiegen
    9.6 km   Rechts abbiegen
    9.7 km   Rechts abbiegen; 3. Ausfahrt im Kreisverkehr nehmen
    9.8 km   Rechts auf Fahrradweg fahren
    9.9 km   Rechts halten
   10.1 km   Rechts halten
   10.6 km   Rechts abbiegen
   10.7 km   Links halten
   11.1 km   Rechts abbiegen
   11.2 km   Links halten
   11.4 km   Scharf rechts abbiegen
   11.5 km   Rechts abbiegen
   11.6 km   Rechts abbiegen
   11.7 km   Rechts abbiegen
