DOESBURG - GAANDEREN - DOESBURG    53.9 km    · signs & notes only ·

DIRECTIONS
   42.8 km   Rechts abbiegen auf Wehlsedijk (follow 1.2 km)
   44.0 km   Links abbiegen (follow 2.2 km)
   46.2 km   Links abbiegen auf IJsselweg
   47.2 km   Rechts abbiegen
   48.1 km   Rechts abbiegen auf Beemsterweg
   49.0 km   Rechts abbiegen
   49.3 km   Dem Straßenverlauf von De Koppel folgen (follow 1.6 km)
   50.9 km   Rechts halten (follow 2.1 km)
   53.0 km   Rechts abbiegen
   53.4 km   Dem Straßenverlauf von Barend Ubbinkweg folgen
   53.5 km   Links abbiegen auf Turfhaven
   53.8 km   Rechts abbiegen
