MAINZ- WINNINGEN-BURG THURANT -TREIS- KARDEN    35.4 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn sharp right
    0.2 km   Turn right onto Am Moselufer
    0.3 km   Turn left onto Weinhof
    0.5 km   Turn left onto Marktstraße
    1.0 km   Continue onto Jahnstraße
    1.0 km   Continue onto Uhlenweg (follow 4.5 km)
    5.5 km   Turn left onto Marktstraße
    5.8 km   Turn slight left onto Marktplatz
    6.1 km   Turn sharp left onto Kastorbachstraße, L 117
    6.1 km   Turn sharp right onto Bahnhofstraße, K 70 (follow 1.3 km)
    7.4 km   Continue onto Römerstraße
    8.3 km   Turn left onto Maifeldstraße, L 122
    8.5 km   Continue onto Hauptstraße, L 82
    9.3 km   Turn left onto Hauptstraße (follow 2.8 km)
   12.1 km   Turn sharp left onto Schieferbergwerk
   12.1 km   Turn right onto B 416
   13.0 km   Turn sharp right onto Mühlstraße
   13.1 km   Continue onto Oberdorfstraße
   13.3 km   Turn right onto Oberdorfstraße
   13.4 km   Turn left onto Panoramastraße, K 43
  ★ 13.5 km  [coffee] Panorama Cafe
   13.5 km   Turn right onto Moselufer, B 416 (follow 1.2 km)
   14.7 km   Keep right onto K 41
   15.4 km   Turn sharp right onto Moselstraße, B 49
   16.3 km   Turn right onto Brandgasse
  ★ 16.3 km  [coffee] Burg Cafe Alken
  ★ 16.4 km  [caution] Steep walk uphill
   16.5 km   Turn left
   16.7 km   Turn slight right
   16.9 km   Turn sharp left onto Burg Thurant
  ★ 17.1 km  [see] Burg Thurant
   17.8 km   Turn sharp right onto L 207
   17.8 km   Turn right onto Vor Thurant
   18.5 km   Turn sharp left onto Oberstraße
   18.5 km   Turn right onto Kirchstraße
   18.6 km   Turn left onto Moselstraße, B 49 (follow 7.0 km)
  ★ 21.0 km  [restroom] Public Restroom
   25.6 km   Turn right
   25.9 km   Turn right onto B 49 (follow 8.4 km)
  ★ 27.7 km  [coffee] Hotel Sewenig — With terrace
   34.3 km   Enter roundabout
   34.3 km   At roundabout, take exit 1 onto Brückenstraße, L 108
   34.5 km   Turn left onto Kastellauner Straße, L 108
   34.7 km   Turn sharp right onto Johannesstraße
   34.8 km   Turn right onto Kirchstraße
  ★ 34.9 km  [bike_parking] Take a walk around the Markt
   34.9 km   Turn right onto Katharinenstraße
   35.0 km   Turn right onto Am Rathaus
   35.0 km   Turn right onto Hauptstraße, L 202
  ★ 35.0 km  [bar] Horeca Treis
   35.3 km   Turn left onto Welsbachstraße
  ★ 35.4 km  [finish] Treis Karden
  ★ 35.4 km  [dock/stay] Mooring Treis-Karden
