NATTENBERG LOOP (HOTEL BURGWIRT)    23.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Driver Stop
    0.1 km   Keep left onto Deggendorfer Straße
    0.1 km   Turn slight left onto Plattlinger Straße
    0.5 km   Turn slight right
    0.6 km   Turn left (follow 1.7 km)
    2.2 km   Turn right
    2.3 km   Turn left
    2.4 km   Turn right
    2.9 km   Turn slight left (follow 2.0 km)
    4.9 km   Turn right onto Bajuwarenstraße
    5.1 km   Turn right onto Deggendorfer Straße (follow 1.9 km)
  ★ 5.9 km  [note] Zuckerfabrik Plattling/ Driver Stop
    7.1 km   Turn right onto Preysingplatz, B 8 (follow 1.2 km)
  ★ 7.1 km  [atm] Volksbank
  ★ 7.1 km  [note] St. Maria Magdalena church \ Driver Stop
  ★ 7.1 km  [convenience_store] Edeka supermarket
  ★ 7.1 km  [bike_parking] Magdalenenplatz
  ★ 7.1 km  [restroom] Public restrooms (free)
    8.2 km   Turn left onto Friedhofstraße
    8.7 km   Turn left
  ★ 8.7 km  [restroom] Public toilets (free)
  ★ 8.7 km  [bike_parking] covered
    8.7 km   Make a U-turn
  ★ 8.7 km  [note] St. Jakob church/ Driver Stop
    8.8 km   Turn right onto Friedhofstraße
    9.2 km   Turn right onto Passauer Straße, B 8
    9.7 km   Turn right
    9.9 km   Turn slight right onto Fischerstraße
  ★ 10.3 km  [see] Isarwelle fotostop
   10.5 km   Turn sharp right
   10.7 km   Continue onto Pappelweg
   10.9 km   Turn left onto Pappelweg
   11.8 km   Turn sharp right (follow 1.8 km)
   13.6 km   Turn right (follow 1.4 km)
   14.9 km   Turn left
   15.2 km   Turn right (follow 1.5 km)
   16.6 km   Turn right onto DEG 46 (follow 2.8 km)
   19.4 km   Turn right onto Donaustraße (follow 1.0 km)
   20.4 km   Turn right
  ★ 20.4 km  [see] Bicycle bridge Danube river fotostop
   20.5 km   Turn left
   20.5 km   Turn left
   20.6 km   Turn right
   21.0 km   Turn sharp right
   21.5 km   Turn slight right onto Scheiblfeldweg
   21.8 km   Turn left
  ★ 23.2 km  [dock/stay] Hotel Burgwirt
