MØN - KLINTHOLM HAVN COUNTERCLOCKWISE MØNS KLINT - STEGE - AROUND LAKE - KLINTHOLM HAVN    53.6 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechtsaf naar Thyravej
    0.3 km   Houd links aan naar Klintholm Havnevej (follow 2.0 km)
    2.3 km   Rechtsaf naar Hovvejen
    3.0 km   Linksaf naar Klintholmvej (follow 1.1 km)
    4.1 km   Rechtsaf naar Gammel Klintevej
    4.4 km   Linksaf
    5.1 km   Houd links aan
    5.5 km   Linksaf
    5.8 km   Linksaf
    5.9 km   Rechtsaf
    6.1 km   Ga linksaf naar Klintevej
    6.2 km   Linksaf naar Klintevej, 287
    6.3 km   Rechtsaf naar Langebjergvej (follow 2.5 km)
    8.8 km   Houd links aan naar Liselundvej (follow 4.6 km)
   13.4 km   Rechtsaf naar Klintevej, 287 (follow 1.2 km)
   14.6 km   Houd rechts aan (follow 2.2 km)
   16.8 km   Blijf op Klintevej, 287 (follow 1.3 km)
   18.0 km   Rechtsaf (follow 2.6 km)
   20.6 km   Rechtsaf naar Klintevej, 287
   21.3 km   Rechtsaf (follow 1.7 km)
   23.0 km   Rechtsaf naar Udbyvej (follow 1.0 km)
   24.0 km   Linksaf naar Udbygade
   24.5 km   Linksaf naar Dirkvej
   25.3 km   Linksaf naar Trehøjevej
   26.3 km   Linksaf naar Ulvshalevej (follow 2.0 km)
   28.3 km   Blijf op Rådhusgade
   28.7 km   Rechtsaf naar Storegade
   29.1 km   Blijf op Kostervej, 59, 287
   29.5 km   Linksaf naar Lendemark Hovedgade
   29.6 km   Houd rechts aan naar Lendemark Hovedgade
   30.0 km   Linksaf naar Rødkildevej (follow 7.7 km)
   37.7 km   Rechtsaf naar Lindegårdsvej (follow 1.2 km)
   38.9 km   Linksaf naar Vængesgårdsvej (follow 2.0 km)
   40.9 km   Rechtsaf naar Kullegårdsvej (follow 1.8 km)
   42.8 km   Linksaf naar Råbylille Strandvej
   43.1 km   Rechtsaf naar Råby Søvej
   43.8 km   Linksaf naar Dalkildevej (follow 1.1 km)
   45.0 km   Ga rechtsaf naar Søndre Landevej (follow 2.3 km)
   47.2 km   Rechtsaf
   47.3 km   Linksaf
   47.3 km   Keer om
   47.4 km   Rechtsaf
   47.5 km   Rechtsaf naar Søndre Landevej (follow 3.7 km)
   51.1 km   Rechtsaf naar Klintholm Havnevej (follow 1.9 km)
   53.0 km   Houd rechts aan naar Thyravej
   53.3 km   Houd links aan naar Thyravej
   53.6 km   Rechtsaf naar Klintholm Havneby
