TERNEUZEN - ANTWERPEN (ALT) (KOPIËREN)    59.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] Terneuzen
    0.0 km   Turn sharp right (follow 1.0 km)
    1.1 km   Keep right onto Scheldeboulevard
    1.1 km   Turn left onto Scheldeboulevard
    1.5 km   Turn left onto Scheldeboulevard
    1.7 km   Continue onto Churchilllaan
    1.8 km   Turn slight left onto Scheldeboulevard
    2.5 km   Keep right onto Basaltpromenade
    2.6 km   Turn right
    2.7 km   Turn left onto Laan van Othene
    2.8 km   Turn slight right onto Laan van Othene
    3.0 km   Turn slight left
    3.2 km   Turn left
    3.3 km   Turn left
    3.3 km   Turn right onto Vrijheidslaan
    3.5 km   Turn right onto Margarethaweg
    3.5 km   Turn right onto Reuzenhoeksedijk
    3.5 km   Turn right (follow 3.4 km)
    7.0 km   Turn slight left onto Reuzenhoek
    7.1 km   Turn right onto Reuzenhoek (follow 1.7 km)
    8.7 km   Turn left onto Plein
    8.8 km   Continue onto Veerstraat
    9.0 km   Turn right onto Veerstraat (follow 1.7 km)
   10.7 km   Continue onto Veer
   11.6 km   Continue onto Sasdijk (follow 1.9 km)
   13.5 km   Turn left onto Sasdijk (follow 1.1 km)
   14.7 km   Turn right onto Klein Cambrondijk (follow 1.6 km)
   16.3 km   Turn right onto Havikdijk (follow 2.3 km)
   18.6 km   Turn right onto Hulster Nieuwlanddijk
   19.4 km   Turn left onto Parallelweg West
   19.9 km   Turn right onto Oude Zoutdijk
   20.6 km   Turn right onto Tivoliweg
   20.9 km   Turn slight right onto Dubbele Poort
   21.0 km   Turn left onto Overdamstraat
   21.1 km   Turn right onto Frans van Waesberghestraat
   21.2 km   Turn right onto Vestdijkstraat
   21.3 km   Turn left onto Houtenkwartier
   21.4 km   Turn right onto Frans van Waesberghestraat
   21.5 km   Turn right onto Gentsestraat
   21.8 km   Turn slight left onto van der Maelstedeweg
   22.7 km   Turn right
   22.8 km   Turn left (follow 1.7 km)
   24.5 km   Turn right
   24.5 km   Turn left onto Mechelen-Terneuzenwegel
   24.8 km   Keep left onto Hoogegeeststraat
   25.7 km   Turn right
   25.8 km   Turn slight left onto Mechelen-Terneuzenwegel (follow 3.0 km)
   28.8 km   Turn left onto Spoorwegpad
   28.8 km   Turn slight right onto Mechelen-Terneuzenwegel (follow 4.8 km)
   33.7 km   Turn left (follow 1.2 km)
   34.8 km   Turn sharp left onto Vrouw Mariastraat
   34.9 km   Turn right onto Vrouweneekhoekstraat
   35.1 km   Continue onto Godsschalkstraat (follow 1.4 km)
   36.5 km   Turn left
   37.3 km   Turn slight left onto Uilenstraat
   37.3 km   Turn left onto Uilenstraat
   38.1 km   Turn right onto Uilenstraat
   38.2 km   Turn left onto Slagmolenstraat
   38.6 km   Turn left onto Ster
   39.0 km   Turn slight right (follow 2.1 km)
   41.2 km   Turn right onto Bankstraat
   42.1 km   Turn sharp left onto Willem Van Doornyckstraat, N485
   42.5 km   Turn slight right onto Willem Van Doornyckstraat (follow 2.9 km)
   45.4 km   Turn right onto Kruibekesteenweg (follow 2.0 km)
   47.3 km   Turn slight right onto Molenstraat (follow 1.1 km)
   48.5 km   Turn right onto Langestraat, N419
   48.5 km   Turn left onto N408
   48.7 km   Turn right
   49.1 km   Turn left onto Overloopdijk
   49.1 km   Turn slight left onto Overloopdijk
   49.3 km   Keep right onto Veerdienst Kruibeke-Hoboken, KRH
   50.1 km   Turn slight left onto Leo Bosschartlaan
   50.2 km   Turn left onto Maccabilaan
   50.3 km   Turn right
   50.3 km   Turn left onto Karel du Boislaan
   50.7 km   Turn right
   50.8 km   Turn left
   51.0 km   Turn left
   51.1 km   Turn right
   51.2 km   Turn right onto Polderplein (follow 1.5 km)
   52.7 km   Turn right
   53.5 km   Turn right onto Maria Telkesstraat (follow 1.1 km)
   54.6 km   Turn left onto Generaal Armstrongweg, N107
   54.7 km   Turn right onto D'Herbouvillekaai (follow 4.0 km)
  ★ 57.5 km  [note] Antwerpen
   58.6 km   Turn right onto Amsterdamstraat
   58.9 km   Turn left onto Kattendijkdok-Westkaai
