KOBLENZ (LOOP)    22.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn right onto Peter-Altmeier-Ufer
    0.1 km   Turn left onto Kornpfortstraße
  ★ 0.1 km  [dock/stay] Mooring Koblenz
    0.2 km   Turn right onto Auf der Danne
  ★ 0.2 km  [see] Old town
    0.6 km   Turn right onto An der Moselbrücke
    1.1 km   Turn slight right onto Gartenstraße, K 1
    1.2 km   Turn left onto Neuendorfer Straße
    1.5 km   Turn right onto Neuendorfer Straße
    1.7 km   Turn right onto Schartwiesenweg (follow 1.7 km)
    3.4 km   Turn left onto Jakobstraße
    3.5 km   Turn right onto Hochstraße
    4.2 km   Turn right onto St.-Bernhard-Straße (follow 2.0 km)
    6.2 km   Turn slight right onto Carl-Spaeter-Straße
    6.2 km   Turn left onto Hintermark
    6.4 km   Turn right (follow 2.3 km)
    8.6 km   Turn right onto Kesselheimer Straße
    8.7 km   Turn left onto Brückenstraße
    8.9 km   Turn left onto Koblenzer Straße (follow 1.2 km)
   10.1 km   Turn left onto Eisenbahnstraße (follow 2.2 km)
   12.3 km   Turn right onto Rheinstraße, B 42
   12.8 km   At roundabout, take exit 2 onto Rheinstraße, B 42
   13.1 km   Keep right onto Rheinwerft
   13.2 km   Turn left
   13.3 km   Turn right onto Rheinufer
   13.4 km   Turn left onto Rheinufer
   13.5 km   Turn slight right
   13.5 km   Turn right onto Leinpfad
   14.1 km   Turn right (follow 4.1 km)
  ★ 16.7 km  [see] Festung Ehrenbreitstein
  ★ 17.8 km  [see] Rheinburg
   18.2 km   Turn right onto Emser Straße
   18.7 km   Turn right
   18.7 km   Turn left
   18.8 km   Turn sharp left
   19.5 km   Turn right
   19.6 km   Turn slight right
   19.7 km   Turn left onto Rizzastraße
   19.8 km   Keep right onto Südallee
   19.9 km   Turn right onto Casinostraße
   20.1 km   Turn right onto Schloßstraße
   20.3 km   Turn left
   20.5 km   Turn right onto Stresemannstraße
   20.8 km   Keep left onto Konrad-Adenauer-Ufer
   21.1 km   Turn right onto Konrad-Adenauer-Ufer
   21.1 km   Turn left onto Konrad-Adenauer-Ufer
   21.6 km   Turn left onto Konrad-Adenauer-Ufer
   21.6 km   Turn right onto Konrad-Adenauer-Ufer
  ★ 21.7 km  [see] Deutsches Eck
   21.8 km   Keep left onto Peter-Altmeier-Ufer
