RÜDESHEIM - MAINZ (VIA WINELANDS)    32.7 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Continue
    0.2 km   Keep left onto Auf der Lach
    0.2 km   Turn sharp left
    0.3 km   Turn right onto Kaiserstraße, B 42
    0.4 km   Turn slight right onto Geisenheimer Straße, B 42
    0.5 km   Keep left onto Albertistraße
    0.9 km   Turn right onto Fürstbischof-Rudolf-Straße
    1.2 km   Turn right onto Hugo-Asbach-Straße (follow 2.9 km)
    4.2 km   Turn sharp right
    4.4 km   Turn left
    5.2 km   Turn left onto Grund, L 3272
    5.4 km   Turn right onto Märzackerweg (follow 1.5 km)
    6.9 km   Turn right onto Schillerstraße, K 631
    7.0 km   Turn left onto Greiffenclaustraße
    7.3 km   Turn right onto Schnitterweg
    7.3 km   Turn left onto Tulpenstraße
    7.5 km   Turn left onto Peter-Spahn-Straße
    7.6 km   Turn sharp left onto Kirchstraße
    7.9 km   Make a U-turn onto Kapellenstraße
    8.5 km   Turn left onto Gänsbaumstraße
    8.6 km   Turn right
    8.7 km   Turn right
    9.1 km   Turn right
    9.2 km   Continue onto Grenzstraße
    9.5 km   Turn left onto Rheingaustraße, B 42a
    9.7 km   Turn right onto Gartenstraße
    9.9 km   Turn left onto Leinpfad
   10.9 km   Bear right on bike path (follow 1.7 km)
   12.6 km   Right follow river on right hand (follow 4.1 km)
   16.7 km   Links abbiegen auf Matheus-Müller-Straße
   17.0 km   Rechts abbiegen auf Matheus-Müller-Platz, K 638
   17.1 km   Leicht rechts abbiegen auf Rheingauer Straße, K 638
  ★ 17.2 km  [coffee] Eltville, cafes
   17.4 km   Turn right onto Burgstraße
   17.5 km   Make a U-turn onto Burgstraße
  ★ 17.5 km  [bike_parking] Bike parking Eltville
  ★ 17.5 km  [park] Rose Garden
  ★ 17.5 km  [note] Eltville Castle & Tourist Info
  ★ 17.5 km  [restroom] Public toilets Eltville
   17.6 km   Turn right onto Rheingauer Straße, K 638
   17.8 km   Im Kreisverkehr Ausfahrt 1 auf Rheingauer Straße, K 638 nehmen
   18.2 km   Rechts halten (follow 2.0 km)
   20.2 km   Leicht rechts abbiegen auf Hauptstraße, K 638
   20.5 km   Rechts abbiegen auf Kirchgasse
   20.6 km   Left on Rheinallee
  ★ 20.8 km  [food] Restaurants Niederwalluf
   21.3 km   Bei Im Johannisfeld rechts abbiegen
   22.0 km   Links halten (follow 1.0 km)
   23.0 km   Scharf links abbiegen
   23.3 km   Rechts abbiegen auf Christian-Bücher-Straße
   23.5 km   Rechts abbiegen auf Christian-Bücher-Straße
   23.7 km   Straight ahead, river on right hand
  ★ 23.7 km  [coffee] Cafés and Restaurants on the waterfront
   24.1 km   Bear right on bike path follow river
   25.1 km   Turn right
   25.1 km   Turn left
   25.2 km   Make a U-turn
   25.3 km   Turn left
   25.3 km   Turn right
   25.6 km   Continue onto Uferstraße (follow 1.1 km)
   26.8 km   Rechts halten
   27.0 km   Rechts abbiegen
   27.0 km   Links abbiegen
   27.1 km   Rechts abbiegen
   27.2 km   Leicht rechts abbiegen auf Uferstraße
   27.4 km   Links abbiegen
   27.5 km   Rechts abbiegen auf Rheingaustraße, K 648
   27.5 km   Im Kreisverkehr Ausfahrt 1 auf Rheingaustraße, K 648 nehmen
   27.6 km   Rechts halten
   27.9 km   Links halten
   27.9 km   Leicht rechts abbiegen auf Rheingaustraße, K 648 (follow 1.5 km)
   29.4 km   Turn right onto An der Helling
   29.5 km   Continue onto Schiffbauerweg
   29.5 km   Turn left onto Schiffbauerweg
   29.9 km   Leicht rechts abbiegen auf Eleonorenstraße (follow 1.3 km)
   31.2 km   Links halten
   31.2 km   Rechts abbiegen auf Rampenstraße, L 3482
   31.3 km   Rechts abbiegen auf Rampenstraße (follow 1.1 km)
  ★ 32.2 km  [note] Mainz centre
   32.4 km   Turn right
   32.4 km   Turn right
   32.4 km   Turn left onto Adenauer-Ufer
   32.6 km   Turn right onto Adenauer-Ufer
  ★ 32.7 km  [dock/stay] Docking Mainz
