PAAL - TERNEUZEN KORT    39.4 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Turn right onto Havenstraat
    0.4 km   Turn sharp left onto Emmaweg
    0.7 km   Turn right onto Emmaweg
    0.7 km   Turn left onto Paalseweg (follow 2.1 km)
    2.8 km   Turn slight right onto Paalseweg
    2.9 km   Turn left onto Willem Hendrikstraat (follow 1.8 km)
    4.7 km   Turn right onto Willem Hendrikstraat (follow 2.0 km)
    6.7 km   Turn right onto Standertmolenstraat
    6.9 km   Turn left onto Zoutestraat
    7.1 km   Turn slight right onto Zoutestraat (follow 2.5 km)
    9.5 km   Turn left onto Zoutestraat (follow 1.7 km)
   11.2 km   At roundabout, take exit 2 onto Zoutestraat
   11.5 km   Turn slight right onto Schuttershof
   12.0 km   Turn right onto Tivoliweg
   12.2 km   Turn right onto Tivoliweg
   12.8 km   Keep right onto Oude Zoutdijk
   12.9 km   Turn left onto Parallelweg West
   13.5 km   Turn right onto Hulster Nieuwlanddijk
   14.3 km   Turn left onto Havikdijk (follow 2.3 km)
   16.6 km   Turn left onto Klein Cambrondijk (follow 1.6 km)
   18.2 km   Turn left onto Sasdijk (follow 1.1 km)
   19.4 km   Turn right onto Sasdijk (follow 1.6 km)
   20.9 km   Keep left onto Paviljoenweg
   21.0 km   Turn slight left onto Paviljoenweg
   21.8 km   Turn left onto Paviljoenweg
   21.8 km   Turn slight left onto Oude Zeedijk
   22.6 km   Turn left onto Pouckestraat (follow 1.3 km)
   24.0 km   Turn right onto Steenovens (follow 1.7 km)
   25.7 km   Turn left onto Zaamslagseweg (follow 1.0 km)
   26.7 km   Turn right onto Zaamslagsedijk (follow 1.1 km)
   27.8 km   Turn right onto Magrette
   27.9 km   Turn left onto Eglantiersdijk (follow 1.2 km)
   29.1 km   Turn right onto Doorndijk (follow 1.0 km)
   30.1 km   Turn right onto Graaf Jansdijk (follow 2.0 km)
   32.1 km   Turn right onto Pootersdijk
   32.7 km   Turn left (follow 1.7 km)
   34.4 km   Turn slight right onto Maassingel
   35.1 km   Turn right
   36.0 km   Turn right
   36.4 km   Turn right
   36.7 km   Turn left onto Noteneeweg
   36.7 km   Turn slight left (follow 1.1 km)
   37.8 km   Continue onto Rooseveltlaan
   37.8 km   Turn slight right
   37.8 km   Turn left
   37.8 km   Turn slight left
   37.8 km   Turn right onto Rooseveltlaan
   38.4 km   Turn left onto Basaltpromenade
   38.5 km   Turn left
   38.7 km   Keep left onto Scheldeboulevard
   39.3 km   Turn slight right onto Churchilllaan
