ENKHUIZEN (LOOP WERVERSHOOF)    44.4 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Start Radtour
    0.2 km   Rechts abbiegen zum Knotenpunkt 30
    0.5 km   Links abbiegen zum Knotenpunkt 27
    0.9 km   Links abbiegen zum Knotenpunkt 27
    1.5 km   Geradeaus zum Knotenpunkt 27 (follow 1.8 km)
    3.3 km   Rechts abbiegen zum Knotenpunkt 26
    3.4 km   3 Ausfahrt im Kreisverkehr zum Knotenpunkt 26
    4.4 km   Rechts abbiegen zum Knotenpunkt 26
    4.9 km   Links abbiegen zum Knotenpunkt 13 (follow 1.7 km)
    6.6 km   Links abbiegen zum Knotenpunkt 13
    6.7 km   Links abbiegen zum Knotenpunkt 25
    7.1 km   Rechts abbiegen zum Knotenpunkt 25 (follow 1.9 km)
    9.0 km   Links abbiegen zum Knotenpunkt 25
    9.3 km   Rechts abbiegen zum Knotenpunkt 25 (follow 1.6 km)
   10.8 km   Rechts abbiegen zum Knotenpunkt 52
   11.4 km   Links abbiegen zum Knotenpunkt 52 (follow 1.5 km)
   13.0 km   Geradeaus zum Knotenpunkt 50 (follow 2.0 km)
   14.9 km   Rechts abbiegen zum Knotenpunkt 91
   15.8 km   Links abbiegen zum Knotenpunkt 84
   16.3 km   Geradeaus (follow 2.3 km)
   18.6 km   Rechts abbiegen zum Knotenpunkt 85 (follow 1.7 km)
   20.2 km   Geradeaus zum Knotenpunkt 55
   20.6 km   Rechts abbiegen zum Knotenpunkt 55
   20.8 km   Links abbiegen zum Knotenpunkt 55 (follow 1.4 km)
  ★ 21.2 km  [coffee] Tea Garden Vliegenzwam Oostwoud
   22.2 km   Rechts abbiegen zum knotenpunkt 56 (follow 1.6 km)
   23.8 km   Rechts abbiegen zum Knotenpunkt 56
  ★ 23.8 km  [see] Schloss Radboud
   24.4 km   Links abbiegen zum Knotenpunkt 56
   24.8 km   Geradeaus zum Knotenpunkt 56 (follow 1.5 km)
   26.3 km   Links abbiegen zum Knotenpunkt 57
   27.0 km   Rechts abbiegen zum Knotenpunkt 16
   27.9 km   Geradeaus zum Knotenpunkt 16 (follow 3.0 km)
   30.9 km   Rechts und dann Links zum Knotenpunkt 15 (follow 2.5 km)
   33.4 km   Schräg rechts zum Knotenpunkt 13
   33.6 km   Rechts abbiegen zum Knotenpunkt 13 (follow 1.1 km)
  ★ 33.7 km  [coffee] Tea Garden de Libel Broekoord — Small alley, next to the church
   34.7 km   Links abbiegen zum Knotenpunkt 13
   35.5 km   Geradaus zum Knotenpunkt 13
   36.4 km   Rechts abbiegen zum Knotenpunkt 13 (follow 2.4 km)
   38.7 km   Links abbiegen zum Knotenpunkt 26
   38.9 km   Rechts abbiegen zum Knotenpunkt 26 (follow 1.7 km)
   40.6 km   Links abbiegen zum Knotenpunkt 30
   41.2 km   Rechts abbiegen zum Knotenpunkt 30
   41.8 km   Geradeaus zum Knotenpunkt 30 (follow 1.0 km)
   42.9 km   Schräg rechts zum Knotenpunkt 30
   43.3 km   Links abbiegen zum Knotenpunkt 30
   43.3 km   Rechts abbiegen zum Knotenpunkt 30
  ★ 43.5 km  [see] Zuiderzee museum Enkhuizen — Entrance ZUIDERZEEMUSEUM
   43.5 km   Geradeaus zum Knotenpunkt 30
   44.2 km   Links abbiegen zum Schiff
   44.3 km   Links auf Dirck Chinaplein zum Schiff
   44.4 km   End Radtour
