STAVOREN - HEEG    25.5 km    · signs & notes only ·

Knooppunten: 97 · 84 · 99 · 12 · 94 · 95 · 23 · 34 · 35

DIRECTIONS
  ★ 0.0 km  [ferry] Pick up Stavoren
    0.1 km   Start of ride
    0.2 km   Turn right
    0.3 km   Turn slight left
    1.1 km   Turn slight right
    1.1 km   Turn slight left
    1.3 km   Bear right
    1.3 km   Bear right
    1.3 km   Turn left
    1.4 km   Turn right onto Stationsweg
    1.6 km   Turn sharp left onto Kooijweg
    1.7 km   Turn left to junction 97 (follow 3.5 km)
    5.2 km   Turn right to junction 84
    5.8 km   Follow signs to junction 99 via bike path (exit right, heading E) toward junction 12
    6.8 km   Follow signs to junction 12 (exit left, heading E) toward junction 94
    9.2 km   Follow signs to junction 94 (exit left, heading NE) toward junction 95
  ★ 9.9 km  [coffee] Koudum, several cafes
    9.9 km   Follow signs to junction 95 (exit right, heading NE) toward junction 23
   12.1 km   Bear left o junction 23 (follow 3.9 km)
   16.0 km   Follow signs to junction 34 (exit straight, heading NE) toward junction 35
  ★ 19.4 km  [ferry] Ferry Gaastmeer-Heidenskip — 1 euro / not between 1200 and 1300.
   20.5 km   Follow signs to junction 35 via Nijedyk, Harinxmastrjitte, Pharshoeke (exit left)
  ★ 24.7 km  [dock/stay] Docking place Sneek
  ★ 25.5 km  [dock/stay] Docking Heeg
