ALKMAAR - ZAANSE SCHANS - ZAANDAM (ÜBER HEILOO)    37.3 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Rechts abbiegen auf Kaarsemakersgracht
    0.4 km   Rechts abbiegen auf Schapenbrug
    0.5 km   Scharf links abbiegen auf Waagplein
    0.5 km   Leicht rechts abbiegen auf Mient
    0.8 km   Rechts abbiegen auf Oudegracht
    0.9 km   Links abbiegen auf Ridderstraatbrug
    1.0 km   Rechts abbiegen auf Oudegracht
    1.3 km   Scharf links abbiegen auf Ritsevoort
    1.4 km   Rechts abbiegen auf Kennemerstraatweg
    1.5 km   Links abbiegen auf Kennemerstraatweg
    1.7 km   Rechts abbiegen auf Metiusgracht
    2.1 km   Scharf links abbiegen auf Prinses Julianalaan
    2.3 km   Links abbiegen auf Wilhelminalaan
    2.3 km   Links abbiegen auf Prins Bernhardlaan (follow 2.4 km)
    4.8 km   Rechts abbiegen auf Willibrordusweg
    4.8 km   Rechts abbiegen auf Holleweg
    4.9 km   Links abbiegen auf Holleweg
    5.8 km   Links abbiegen
    5.9 km   Im Kreisverkehr Ausfahrt 1 auf Heerenweg nehmen
    6.6 km   Links abbiegen auf Zevenhuizerlaan
    6.6 km   Rechts abbiegen auf Hoogeweg
    6.9 km   Rechts abbiegen auf Groeneweg
    7.2 km   Rechts abbiegen auf Groeneweg (follow 2.3 km)
    9.6 km   Links abbiegen auf Burgemeester Nieuwenhuijsenstraat
    9.9 km   Rechts halten auf Burgemeester Nieuwenhuijsenstraat
    9.9 km   Rechts abbiegen auf Rijksweg
   10.0 km   Rechts abbiegen auf Kerkweg
   10.4 km   Rechts abbiegen auf Dusseldorperweg
   10.9 km   Links abbiegen auf Dusseldorperweg
   11.2 km   Links abbiegen auf Schoolweg
   11.5 km   Rechts abbiegen auf Zuidkerkenlaan
   11.6 km   Rechts abbiegen
   11.6 km   Wenden
  ★ 11.6 km  [see] Hortus Bulborum — Blumengarten mit historischen Zwiebelgewächsen
   11.6 km   Links abbiegen auf Zuidkerkenlaan
   11.7 km   Rechts abbiegen auf Zuideinderweg
   12.0 km   Rechts abbiegen auf Hazelaantje
   12.3 km   Links abbiegen auf Provincialeweg
   12.8 km   Rechts abbiegen auf Gerbrandsven
   13.4 km   Im Kreisverkehr Ausfahrt 2 auf De Bloemen nehmen
   13.5 km   Links abbiegen auf De Bloemen
   14.1 km   Links halten
   14.6 km   Rechts abbiegen auf Nesdijk
   15.4 km   Dem Straßenverlauf von Uitgeesterweg folgen
   15.4 km   Rechts abbiegen
   15.4 km   Links abbiegen auf Uitgeesterweg
   15.5 km   Rechts abbiegen auf Uitgeesterweg (follow 1.6 km)
   17.0 km   Rechts halten
   17.1 km   Rechts abbiegen auf Geesterweg
   17.3 km   Links abbiegen auf Molenwerf
   17.6 km   Links abbiegen auf Molenweg
   17.8 km   Scharf rechts abbiegen auf Loet
   17.8 km   Leicht rechts abbiegen auf Bonkenburg
   17.9 km   Links abbiegen auf Populierenlaan
   17.9 km   Rechts abbiegen auf Hoorne
   18.1 km   Links abbiegen auf Meldijk
  ★ 18.1 km  [coffee] Bäckerei, Kaffee — Ab 07 Uhr geöffnet (nicht am Sontag)
   18.4 km   Dem Straßenverlauf von Sluisbuurt folgen (follow 2.5 km)
  ★ 19.2 km  [food] Restaurant 'Krelis' — ab 11 Uhr geöffnet
  ★ 19.2 km  [note] Info Punkt — Schuppen zum Trocknen von Holz
  ★ 19.3 km  [restroom] Toilette — Ohne Papier/ohne Waschbecken
  ★ 19.6 km  [coffee] restaurant Havenrijk — Geöffnet ab 12 Uhr
   20.9 km   Rechts halten auf Lagendijk
  ★ 21.1 km  [note] Festung — Geöffnet ab 11 Uhr (Do-So)
   21.1 km   Scharf links abbiegen auf Lagendijk
   21.2 km   Links abbiegen auf Krommenieweg
   21.5 km   Links abbiegen auf Krommeniedijk (follow 1.6 km)
   23.0 km   Rechts abbiegen auf Uitweg
   23.7 km   Dem Straßenverlauf von Vlusch folgen
   23.9 km   Leicht rechts abbiegen auf Waterjuffer
   24.0 km   Links abbiegen auf Serooskerkestraat
   24.7 km   Dem Straßenverlauf von Weverstraat folgen
   24.8 km   Links abbiegen auf Badhuislaan
   25.0 km   Dem Straßenverlauf von Padlaan folgen
   25.4 km   Rechts halten
   25.6 km   Rechts abbiegen
   25.7 km   Rechts abbiegen auf Kerkstraat
   25.8 km   Links abbiegen auf Krommenieërweg
   26.4 km   Rechts abbiegen auf Krommenieërweg
   26.6 km   Leicht links abbiegen auf Marktstraat
   26.8 km   Rechts abbiegen auf Zaanweg
   27.5 km   Rechts halten
   27.5 km   Links abbiegen auf Zaanweg
   27.5 km   Links abbiegen
   27.6 km   Links abbiegen
   28.0 km   Im Kreisverkehr Ausfahrt 2 auf Rigastraat nehmen
   28.1 km   Rechts halten auf Bordwalserstraat
   28.1 km   Leicht links abbiegen auf Bordwalserstraat
   28.2 km   Leicht links abbiegen auf Rigastraat
   28.2 km   Leicht rechts abbiegen auf Rigastraat
   28.3 km   Leicht links abbiegen auf Koetserstraat
   28.6 km   Dem Straßenverlauf von Papiermakerstraat folgen
   28.7 km   Links halten
   28.8 km   Rechts abbiegen auf Zaandammerpad
   29.1 km   Scharf rechts abbiegen auf Zaandammerpad
   29.2 km   Links halten auf Zaandammerpad
   29.8 km   Rechts abbiegen auf Kalverringdijk (follow 1.7 km)
  ★ 30.4 km  [see] Windmühle museum
  ★ 30.8 km  [see] Windmühle Het Jonge Schaap
  ★ 31.0 km  [see] Windmühle de Kat
  ★ 31.2 km  [see] Zaanse Schans — Freilichtmuseum
  ★ 31.5 km  [bike_parking] Fahrradparkplatz
   31.5 km   Links abbiegen auf Leeghwaterweg
   31.5 km   Rechts abbiegen auf Diederik Sonoyweg
  ★ 32.0 km  [bike_parking] Fahrradparkplatz
   32.5 km   Rechts abbiegen auf Haaldersbroek
   32.6 km   Rechts abbiegen auf Kalf
   33.0 km   Links halten auf Kalf
   33.5 km   Links abbiegen auf Kalf
   33.6 km   Rechts abbiegen auf Doctor H.G. Scholtenstraat
   34.3 km   Scharf rechts abbiegen
   34.4 km   Rechts halten auf Paltrokstraat
   34.6 km   Links abbiegen auf Oostzijde
   35.5 km   Rechts abbiegen auf Oostzijde (follow 1.3 km)
   36.8 km   Rechts abbiegen auf Oostzijde
   36.8 km   Links halten
   37.1 km   Links abbiegen auf Burcht
  ★ 37.3 km  [dock/stay] Liegeplatz Zaandam
