CHABLIS (LOOP)    46.2 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Keep left
    0.7 km   Turn left onto Quai du Batardeau
    1.0 km   Turn left
    1.0 km   Turn right
    1.1 km   Turn sharp left onto La Coulée Verte
    1.4 km   Turn right
    1.4 km   Turn right
    1.5 km   Turn left onto Avenue du Maréchal Juin
    1.6 km   Turn sharp left onto Rue Saint-Gervais
    1.8 km   Turn slight right onto Rue des Mignottes
    1.8 km   Turn slight right onto Avenue de la Résistance
    2.7 km   At roundabout, take exit 1 onto Avenue de la Résistance
    2.8 km   At roundabout, take exit 2 onto D 124
    3.0 km   Turn right
    3.4 km   Turn right (follow 1.9 km)
    5.3 km   Turn right
    6.0 km   Turn right
    6.3 km   Continue onto Rue des Bleuets (follow 1.4 km)
    7.8 km   Turn sharp right onto Rue des Trois Soleines (follow 4.1 km)
   11.9 km   Turn right
   12.0 km   Turn right onto Rue de Courgis (follow 3.8 km)
   15.9 km   Turn right
   16.8 km   Turn left onto D 62 (follow 1.5 km)
   18.2 km   Turn right (follow 5.3 km)
   23.5 km   Turn slight left onto D 2
   23.5 km   Turn slight left onto Route de Vaucharme
   24.1 km   Turn right onto Rue du Panonceau
   24.5 km   Turn right onto Rue Émile Zola
   24.6 km   Turn left onto Rue Jules Rathier
   25.0 km   Turn left onto Rue Maréchal de Lattre de Tassigny
   25.2 km   At roundabout, take exit 2 onto Rue Auxerroise
   25.5 km   At roundabout, take exit 2 onto Route d'Auxerre (follow 1.2 km)
   26.8 km   At roundabout, take exit 2 onto Route de Chablis
   27.2 km   Continue onto D 965
   27.2 km   Turn right onto Rue de Poinchy
   27.8 km   Turn left (follow 3.6 km)
   31.4 km   Turn slight left onto Route de Lignorelles
   31.4 km   Turn slight right onto Grande Rue (follow 4.6 km)
   36.0 km   Turn sharp left
   36.4 km   Turn left onto D 124 (follow 5.8 km)
   42.2 km   Turn sharp left onto Route d'Auxerre
   42.7 km   Turn right
   43.5 km   Turn slight left
   44.2 km   Turn sharp right onto Avenue de la Turgotine
   45.0 km   Turn sharp left onto Rue du Moulin du Président
   45.6 km   Turn right onto Avenue Bourbotte
   45.7 km   At roundabout, take exit 1 onto Place Lamartine
   45.9 km   Keep right onto D 124
   46.0 km   Turn right onto Quai de la Marine and drive toward Centre-Ville, l'Arbre Sec, Stades-Piscines, Préfecture, Office du Tourisme, Hotel de Ville, AJA Foot
   46.1 km   Turn right
