TESTFAHRT: AMSTERDAM (OOSTERDOK) 4,8 KM DEU 2026    4.8 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Links abbiegen auf Oosterdok
    0.4 km   Scharf rechts abbiegen auf Oosterdokskade
    0.6 km   Im Kreisverkehr Ausfahrt 1 auf De Ruijterkade nehmen
    1.0 km   Scharf links abbiegen auf De Ruijterkade
    1.8 km   Links abbiegen auf Vriesseveem
    2.6 km   Rechts abbiegen auf Piet Heinkade
    3.1 km   Links abbiegen
    3.4 km   Rechts halten auf Kattenburgerstraat
    4.1 km   Rechts abbiegen
  ★ 4.5 km  [caution] Bruno van Moerkerkpassage — Fahren Sie extrem langsam! Scharfe Kurven und entgegenkommende Fahrräder!
    4.6 km   Continue onto Oosterdok
