ANTWERPEN (LOOP CITY)    24.1 km    · signs & notes only ·

DIRECTIONS
   21.8 km   Turn left onto Zonstraat
   22.1 km   Turn left onto Kroonstraat
   22.1 km   Turn right onto Ketsstraat
   22.3 km   Turn right onto Van Geertstraat
   22.5 km   Turn slight left onto Dodoensstraat
   22.6 km   Turn right onto Tuinbouwstraat
   22.7 km   Turn right onto Provinciestraat
   22.7 km   Turn right onto Provinciestraat
   23.0 km   Continue onto Carnotstraat
   23.0 km   Turn left
   23.4 km   Turn right onto Van Schoonhovenstraat
   23.7 km   Turn left onto Lange Beeldekensstraat
   23.7 km   Turn left onto Van Wesenbekestraat
   23.9 km   Turn right
   24.0 km   Turn left onto Van Arteveldestraat
   24.1 km   Turn left
