PARIS (BOUGIVAL) - L'ISLE-ADAM    42.0 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Bear left
    0.1 km   Turn right; cross bridge
    0.5 km   Turn right and directly right again; through the parc back to the river
    0.7 km   Turn right; river on your left (follow 2.3 km)
    3.0 km   Continue onto Chemin de Halage (follow 1.7 km)
    4.7 km   Bear right
    4.8 km   Turn right
    4.9 km   Turn right; cross bridge (follow 1.3 km)
    6.2 km   Neem op de rotonde de 1ste afslag op Av. Gambetta richting Poissy/​Cergy/​Pontoise
    6.7 km   Turn right
    7.4 km   Keep right onto Rue de la Surintendance
    7.4 km   Turn slight right onto Rue de Pontoise, D 284
    7.5 km   At roundabout, take exit 2 onto Rue de Pontoise, D 284
    7.7 km   Turn right onto Chemin des Carrières
    7.7 km   Turn left
    8.1 km   Turn right onto Route de Maisons-Laffitte
    8.1 km   Turn slight right
    8.6 km   Turn right onto Route de la Mare Poreuse
    8.6 km   Turn left
    9.3 km   Turn left onto Route du Buisson Richard
    9.3 km   Turn right onto Avenue des Loges
    9.3 km   Turn right
    9.4 km   Turn left
    9.8 km   Turn left onto Route du Houx
    9.8 km   Turn right onto Avenue des Loges (follow 3.8 km)
   13.7 km   Cross road then turn right
   14.5 km   Turn right
   14.6 km   Turn left onto Rue Deschamps Guérin
   14.8 km   Turn right
   15.0 km   Turn right onto Avenue de Stalingrad
   15.2 km   Turn left onto Rue du 8 Mai 1945
   15.5 km   At roundabout, take exit 2
   15.8 km   At roundabout take exit 2 onto Rue de Seine
   15.9 km   Turn right onto Rue de Seine
   16.5 km   Bear left (follow 1.4 km)
   17.9 km   Turn right
   18.1 km   Sharp left onto path; pass big stone
  ★ 18.1 km  [note] Gravel pad aan linkerhand om terug te keren naar rivier. Gemarkeerd door grote kei in het midden van het pad.
  ★ 18.1 km  [caution] smal path marked by a big stone
   18.4 km   Turn slight right (follow 1.6 km)
   20.0 km   Turn left
   20.0 km   Turn left; cross bridge
   20.2 km   Turn right
   20.3 km   Turn left; river on your right
   20.7 km   Keep left onto Promenade François Mitterrand (follow 2.8 km)
  ★ 20.9 km  [coffee] Conflans: several cafes
   23.5 km   At roundabout take exit 2 onto Avenue Carnot
   24.3 km   At roundabout take exit 1 onto Avenue Roger Guichard, D 984
   24.7 km   Turn left to Rue du Rû
   24.8 km   At roundabout take exit 1 onto Chemin de Halage
   25.3 km   Bear left onto bike path
   25.5 km   Turn right; cross bridge
   25.6 km   Turn right
   25.8 km   Turn right (follow 1.7 km)
   27.5 km   Turn slight right; keep river at your right
   27.8 km   Slight right onto bike path
   28.0 km   Bear right onto Quai du Pothuis (follow 1.2 km)
   29.2 km   Turn left onto Chemin du Ruisseau
   29.4 km   Turn right (follow 1.6 km)
   31.0 km   Bear left onto Rue du Valhermeil
   31.1 km   Sharp right (follow 1.8 km)
   32.9 km   Turn right to Rue de la Chériette
   33.3 km   Turn right to Rue Rémy
   34.1 km   Turn right to Rue de Zundert, D 928
   34.5 km   Turn left onto Rue de la Sansonne
  ★ 34.6 km  [see] Auberge Ravoux (Vincent van Gogh)
   34.6 km   Turn sharp left onto Rue Daubigny
  ★ 34.9 km  [see] Church Auvers
   35.0 km   Turn slight right onto Rue de Paris
   35.0 km   Continue onto Rue de Paris, D 928
   35.1 km   Turn left onto Rue Marcel Martin
  ★ 35.2 km  [dock/stay] barge Auvers sur Oise
  ★ 35.3 km  [see] Vincents grave
   35.9 km   Turn sharp right onto Rue de Cordeville
   35.9 km   Keep left onto Rue du Clos Sermon
   36.4 km   Keep right onto Rue des Rayons (follow 1.3 km)
   37.7 km   Keep right onto Rue de la Pêcherie
   38.0 km   Turn right onto Rue Richebout, D 151
   38.0 km   Turn left onto Rue Massenet
   38.2 km   Turn right onto Rue du Clos Cossard
   39.2 km   Turn sharp left onto Rue du Val d'Oise
   39.2 km   Turn sharp right
   39.4 km   Turn slight right (follow 1.7 km)
   41.1 km   Turn right onto Rue Blanchet
   41.2 km   Keep right onto Place Georges Clemenceau
   41.2 km   Turn right onto Rue de Conti
   41.8 km   Turn left onto Chemin Pierre Terver
   42.0 km   Turn left
  ★ 42.0 km  [dock/stay] Docking L'Isle-Adam
