MEDEMBLIK (LOOP)    40.9 km    · signs & notes only ·

Knooppunten: 55 · 73 · 72 · 70 · 69 · 89 · 90

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Medemblik
    0.3 km   Turn slight left onto Oosterhaven
    0.3 km   Turn sharp left onto Hoogesteeg
    0.5 km   Turn left onto Pekelharinghaven
    0.8 km   Turn left onto Pekelharinghaven
    0.9 km   Turn slight left onto Oudevaartsgat
    1.5 km   Turn left onto Vooroever
    1.6 km   Turn right onto Vooroever
    2.1 km   Turn left
    2.7 km   Turn slight left (follow 3.2 km)
    5.9 km   Turn right onto Kagerbos
    5.9 km   Turn left onto Simon Koopmanstraat
    6.6 km   Follow signs to junction 55 via the bikepath on the left side of the road, Kerkepolderpad, Heemraad Witweg, Hauwert, Korenmolenpad, Oosteinderweg, Nieuweweg, Oosterstraat, Buurt, Gouwtje, Midwouder Dorpsstraat, Broerdijk (exit left, heading W) toward junction 73
  ★ 25.9 km  [food] Café De Post
   26.6 km   Follow signs to junction 73 via Zuiderzeeweg (exit right, heading N) toward junction 72
  ★ 29.8 km  [rest_stop] Rustpunt Twisk
   29.9 km   Turn left onto Dorpsweg, to junction 72
   30.6 km   Follow signs to junction 70 via Hornderpad (exit straight, heading N) toward junction 69
   32.3 km   Follow signs to junction 69 via Noorderweg, Almersdorperweg, Noorderpad, Gouw, Zuiderpad, Julianastraat, Nieuweweg, Almereweg (exit left, heading NE) toward junction 89
   38.4 km   Follow signs to junction 89 via Almereweg (exit right, heading E) toward junction 90
   39.1 km   Follow signs to junction 90 via bikepath, Randweg, Keern, Turfhoek, Hoogesteeg, Oosterhaven (exit right)
