BRUGES - DAMME (LOOP)    21.6 km    · signs & notes only ·

Knooppunten: 98 · 3 · 12 · 15 · 14 · 55 · 35 · 90 · 97 · 50 · 23 · 3 · 98 · 5

DIRECTIONS
  ★ 0.0 km  [dock/stay] barge Brugge
    0.0 km   Start of ride
    0.2 km   Turn right onto Bargeweg
    0.6 km   Turn left and directly right to junction 98
    1.2 km   Follow signs to junction 3 via bike path (exit left, heading SE) toward junction 12
    3.6 km   Turn left to junction 12 (follow 1.4 km)
    5.0 km   Follow signs to junction 15 via Polderstraat (exit right, heading NE) toward junction 14
    8.9 km   Follow signs to junction 14 via Oude Sluissedijk (exit left, heading NW) toward junction 55
  ★ 9.4 km  [see] Damme centre
    9.5 km   Continue straight to junction 55 (follow 1.3 km)
   10.8 km   Follow signs to junction 35 via to junction 35 (exit right, heading W) toward junction 90
   12.7 km   Bear left to junction 90
   13.0 km   Follow signs to junction 97 (exit right, heading SE) toward junction 50
   15.1 km   Follow signs to junction 50 via bikepath, Noorweegse Kaai (exit left, heading SW) toward junction 23
   18.0 km   Cross road to junction 23
   18.1 km   Turn left to junction 3
   18.3 km   Continue straight to junction 98 (follow 2.1 km)
   20.4 km   Follow signs to junction 5
