OOST GRAFTDIJK - DE RIJP - WESTGRAFTDIJK    7.6 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Turn left onto Jagerspad
    0.2 km   Turn left onto Jagerspad (follow 1.1 km)
    1.3 km   Turn sharp left (follow 1.9 km)
    3.2 km   Turn slight left onto Jan Boonplein
    3.3 km   Turn left onto Kerkstraat
    3.4 km   Turn left onto Nieuwland
    3.5 km   Turn right onto Vlaander
  ★ 3.5 km  [food] Food Stop
    3.5 km   Turn right onto Langebrugspad
    3.6 km   Turn left onto Langebrugspad
    3.7 km   Turn slight left
    3.7 km   Turn left onto Wollandje
    3.8 km   Turn slight left onto Wollandje
    3.9 km   Turn right onto Driemaster
    3.9 km   Turn slight left onto Westeinde
    4.3 km   Continue onto Dorpsstraat
    4.7 km   Keep left onto Groeneweg
    4.8 km   Turn right onto Groeneweg
    5.8 km   Turn right onto Groeneweg
    5.9 km   Turn right onto Dwarsweg (follow 1.1 km)
    7.0 km   Turn slight right onto Zuiddijk
    7.0 km   Turn right onto Burgemeester Dalenbergstraat
    7.4 km   Turn right onto Pieter Pieterzoon Kroonstraat
    7.6 km   Turn right onto Zuiderstraat
  ★ 7.6 km  [parking] Bus Pick up
