RØDVIG HAVN TO KØGE 39.2KM ENG 2024    39.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Rødvig Havn
    0.0 km   Bear right
    0.6 km   Continue straight onto bike path
    0.7 km   Sharp right (follow 2.8 km)
    3.5 km   Turn right (follow 1.7 km)
    5.1 km   Turn right
    5.7 km   Turn right
    5.9 km   Turn left (follow 5.6 km)
  ★ 10.7 km  [see] Photo Stop
   11.6 km   Turn left (follow 1.4 km)
   13.0 km   Turn right (follow 1.6 km)
   14.6 km   Turn left
   15.1 km   Turn left (follow 5.0 km)
  ★ 17.2 km  [see] Castle Gjorslev
   20.1 km   Bear right (follow 3.3 km)
   23.5 km   Turn right (follow 1.6 km)
   25.1 km   Turn left
   25.4 km   Turn right
   25.4 km   Turn left onto bike path (follow 2.2 km)
   27.6 km   Turn left (follow 1.4 km)
   29.0 km   Turn right
   29.0 km   Bear right
   29.2 km   Turn left
   29.3 km   Turn right (follow 1.3 km)
   30.6 km   Turn right (follow 3.0 km)
  ★ 30.6 km  [see] Vallø Castle
   33.7 km   Continue straight; cross road, Turn right onto bike path
   34.5 km   Cross road, Turn left onto bike path (follow 2.5 km)
   37.0 km   Bear right
   37.2 km   Bear right
   37.6 km   Turn left and directly right
   38.1 km   At roundabout take exit 1
   38.3 km   Turn left
   38.5 km   Turn right
   38.5 km   Turn right
   38.7 km   Turn right
   38.7 km   Turn left
   38.8 km   Turn right
   38.8 km   Turn left
   38.9 km   Turn left, cross road
   39.0 km   Turn left, cross road
   39.0 km   Sharp right
   39.0 km   Turn left, cross road
   39.1 km   Turn right and directly turn left to Havnen
   39.2 km   End of ride
  ★ 39.2 km  [dock/stay] Pick up Nordre Kajgade
