FROM POREČ TO NOVIGRAD    55.9 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts afslaan naar Obala 154. brigade Hrvatske vojske
    0.5 km   Rechts afslaan
    1.3 km   Rechts afslaan
    1.5 km   Links afslaan
    1.6 km   Rechts afslaan
    1.8 km   Links afslaan naar 43. istarske divizije
    2.0 km   Links afslaan
    2.1 km   Rechts afslaan
    2.6 km   Rechtdoor (follow 1.2 km)
    3.9 km   Links afslaan
    4.7 km   Links afslaan
    4.9 km   TurnLinks afslaan
    5.0 km   Rechtdoor naar Parenzana (follow 1.1 km)
    6.1 km   Links afslaan
    6.2 km   Rechts afslaan naar 5042
    6.6 km   Links afslaan naar Parenzana (follow 1.2 km)
    7.7 km   Links afslaan naar Parenzana (follow 1.6 km)
    9.3 km   Rechts afslaan
    9.3 km   Links afslaan naar 5042
    9.9 km   Rechts afslaan
   10.2 km   Links afslaan naar 5042 (follow 2.4 km)
   12.6 km   Links afslaan (follow 2.0 km)
   14.6 km   Links afslaan naar 5040
   14.6 km   Rechts afslaan
   15.1 km   Rechts afslaan
   15.4 km   Rechts afslaan
   15.8 km   Links afslaan naar 50049 (follow 3.6 km)
   19.4 km   Links afslaan naar 5041
   19.7 km   Links afslaan naar Parenzana (follow 1.8 km)
   21.5 km   Links afslaan
   22.0 km   Rechts afslaan
   22.1 km   Rechts afslaan
   22.3 km   Links afslaan
   22.3 km   Rechts afslaan
   22.6 km   Op rotonde neem tweede afslag (follow 6.6 km)
   29.1 km   Rechts afslaan naar 5008 (follow 2.4 km)
   31.6 km   Rechts afslaan
   31.8 km   Links afslaan naar 5008
   32.2 km   Links afslaan
   32.2 km   Rechts afslaan (follow 1.3 km)
   33.6 km   Links afslaan naar Vinska cesta, 5008 (follow 4.1 km)
   37.7 km   Rechts afslaan
   37.8 km   Rechts afslaan
   37.9 km   Rechts afslaan
   37.9 km   Rechts afslaan
   38.0 km   Rechts afslaan
   38.2 km   Links afslaan
   38.3 km   Rechts afslaan naar 5008 (follow 2.4 km)
   40.7 km   Op de rotonde neem afslag twee
   41.0 km   Rechtdoor
   41.3 km   Op rotonde neem afslag 1
   41.6 km   Links afslaan
   42.2 km   Links afslaan
   42.4 km   Links afslaan
   42.5 km   Links afslaan
   42.7 km   Rechts afslaan
   43.1 km   Links afslaan (follow 2.9 km)
   46.1 km   Op rotonde neem tweede afslag (follow 5.1 km)
   51.2 km   Rechts afslaan naar D301 (follow 3.5 km)
   54.7 km   Op rotonde neem de tweede afslag naar Ulica Murvi
   55.5 km   Rechts afslaan
   55.5 km   Links afslaan
   55.6 km   Rechts afslaan
   55.6 km   Links afslaan
   55.7 km   Links afslaan
   55.8 km   Rechts afslaan
