FAM: ENKHUIZEN - ENKHUIZEN ENG 2024    6.4 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Continue onto Dirck Chinaplein
    0.1 km   Continue onto Tritondam
    0.2 km   Turn right onto Stationsplein
    0.6 km   Turn right onto Dijk
    0.9 km   Turn left onto Zuiderspui
    0.9 km   Turn right onto Bocht
    1.0 km   Turn slight right onto Blauwpoortsbrug
    1.0 km   Turn left onto Wierdijk
    1.8 km   Turn right onto Wilhelminaplantsoen
    1.8 km   Continue onto Donkerstraat
    1.8 km   Turn sharp left onto Groene Wierdijk
    1.9 km   Turn right onto Kooizandweg
    1.9 km   Turn left onto Kooizandweg
    2.1 km   At roundabout, take exit 1 onto Kooizandweg
    2.2 km   Turn left onto Kooizandweg
    2.8 km   Turn right
    2.9 km   Turn left
    3.1 km   Turn sharp left onto Immerhornweg
    3.1 km   Turn right onto Noorderweg
    3.4 km   Turn sharp left
    3.4 km   Turn right
    3.7 km   Turn right onto Kruislaan
    4.0 km   Turn right onto Handvastwater
    4.2 km   Turn left onto Oude Gracht
    4.2 km   Turn right onto Kolhornstraat
    4.4 km   Continue onto Molenweg
    4.5 km   Turn right onto Wethouder de Vosplein
    4.5 km   Turn left onto Nanne Sluisstraat
    4.7 km   Turn left onto Wethouder Stapelstraat
    4.7 km   Turn right onto Nanne Grootstraat
    4.8 km   Turn right onto Noorder Boerenvaart
    4.9 km   Turn right onto Noorder Boerenvaart
    5.1 km   Turn left onto 21/​Westerstraat
    5.5 km   Turn right onto 21/​Prinsenstraat
    5.6 km   Turn right onto Waaigat
    5.7 km   Turn left to stay on Waaigat
    5.7 km   Continue onto Paktuinen
    5.9 km   Turn right onto LF15 Boerenlandroute/​Spoorstraat
    6.0 km   Turn right onto Havenweg/​LF15 Boerenlandroute
    6.2 km   Slight left onto Tritondam
