ENKHUIZEN - MEDEMBLIK    24.1 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Links auf Tritondam
    0.2 km   Leicht rechts auf Stationsplein, nach KP 30
    0.4 km   Links auf Spoorstraat, nach KP 30
    0.6 km   Rechts auf Dijk, nach KP 14
    0.9 km   Links und dann rechts auf Bocht
    0.9 km   Rechts auf Bocht, nach KP 14
    1.0 km   Rechts, um die Brücke zu überqueren, nach KP 14
    1.0 km   Links auf Wierdijk, nach KP 14
  ★ 1.6 km  [note] ZUIDERZEEMUSEUM — Entrance ZUIDERZEEMUSEUM
    1.6 km   Rechts auf Wagenaarstraat, nach KP 14
    1.8 km   Rechts, und dann scharf links auf Groene Wierdijk, nach KP 14
    1.9 km   Rechts auf Kooizandweg, nach KP 14
    2.0 km   Leicht links auf Kooizandweg, nach KP 14
    2.1 km   Am Kreisverkehr nehmen Sie die 1. Ausfahrt auf Kooizandweg nach KP 14
    2.3 km   Leicht links auf Kooizandweg nach KP 14
    2.9 km   Leicht rechts auf den Radweg auf Kooizandweg
    3.1 km   Die Straße überqueren auf Jelle Kolkpad nach KP 14
    4.1 km   Scharf links auf Oosterdijk, nach KP 14
    4.1 km   Scharf rechts auf Oosterdijk, nach KP 14
    4.5 km   Geradeaus auf Oosterdijk, nach KP 15
    4.7 km   Leicht rechts auf Omringdijk, nach KP 15
    4.8 km   Leicht links auf Omringdijk, nach KP 15 (follow 1.8 km)
    6.6 km   Leicht links, nach KP 15
    6.7 km   Rechts
    6.8 km   Geradeaus auf Omringdijk, nach KP 15 (follow 2.0 km)
    8.8 km   Leicht links auf Omringdijk, nach KP 15
    9.3 km   Geradeaus nach KP 15 (follow 3.5 km)
  ★ 11.8 km  [food] Tea Garden DE LIBEL — Small alley, next to the church
   12.9 km   Leicht links auf Omringdijk, nach KP 16 (follow 1.5 km)
   14.4 km   Rechts auf Nieuwe Haven
   14.4 km   Leicht links, nach KP 16
   14.6 km   Leicht links, nach KP 16 (follow 1.1 km)
  ★ 14.8 km  [food] 1619 Eten & Drinken
   15.7 km   Leicht rechts auf Omringdijk, nach KP 16
   15.9 km   Leicht links, nach KP 16
   16.1 km   Leicht rechts auf Omringdijk, nach KP 57
   16.9 km   Überqueren Sie Kagerdijk auf Kagerbos, nach KP 57
   17.1 km   Geradeaus auf Kagerbos, nach KP 57 (follow 1.2 km)
   18.4 km   Rechts auf Nes, nach KP 74
   19.2 km   Geradeaus nach KP 74 (follow 2.4 km)
   21.6 km   Straße überqueren, dann rechts auf den Radweg
   21.8 km   Leicht links auf den Radweg auf Oosterdijk nach KP 90
   22.0 km   Leicht rechts auf Oosterdijk
   22.1 km   Rechts und die Straße überqueren auf den Radweg, nach KP 90
   22.6 km   Leicht links, nach KP 90
   22.8 km   Links auf Vooroever nach KP 90
   22.8 km   Rechts auf Oosterdijk nach KP 90
   23.0 km   Leicht links auf Oudevaartsgat, nach KP 90
   23.1 km   Links auf Pekelharinghaven nach KP 90
   23.2 km   Rechts auf Pekelharinghaven, nach KP 90
   23.5 km   Nehmen Sie die 2. Ausfahrt auf Hoogesteeg nach KP 90
   23.5 km   Rechts auf Hoogesteeg, nach KP 90
   23.7 km   Rechts auf Oosterhaven
   23.8 km   Geradeaus auf Oosterhaven
   24.1 km   Ende
