HAARLEM (LOOP VIA FLOWERFELD & BEACH)    51.1 km    · signs & notes only ·

DIRECTIONS
    1.2 km   Turn slight left
    1.6 km   Turn right onto Koudenhorn
    2.2 km   Turn right onto Bakenessergracht
    2.8 km   Turn sharp right onto Kampervest
    2.9 km   Turn right onto Essenstraat
    3.1 km   Turn left onto Kleine Houtstraat
    3.7 km   Keep right onto Kleine Houtweg
    3.9 km   Turn right onto Hertenkamplaan
    4.1 km   Turn right onto Fonteinlaan
    4.1 km   Turn left onto Fonteinlaan
    4.2 km   Turn right onto Koningin Wilhelminalaan
    4.3 km   Continue onto Zandvoorterpad
    4.5 km   Keep right onto Hendriklaan
    4.6 km   Turn right onto Helenalaan
    4.8 km   Turn left
    4.8 km   Turn right onto Spruitenbosstraat
    5.0 km   Continue onto Oranjeplein
    5.0 km   Turn right onto Berkenrodestraat
    5.2 km   Continue onto Schouwtjesplein
    5.2 km   Turn left onto Schouwtjeslaan
    5.3 km   Turn slight right onto Pijlslaan
    5.6 km   Turn right
    5.6 km   Continue onto Pijlslaan
    6.0 km   Turn right
    6.2 km   Turn slight right onto Sleedoornweg
    6.4 km   Turn right onto Oosterduinweg
    6.4 km   Turn sharp left onto Oosterduinweg
    7.3 km   Turn slight right onto Clematislaan
    7.3 km   Turn left onto Oosterduinweg
    7.7 km   Turn right
    7.7 km   Turn left
    7.7 km   Turn right (follow 1.0 km)
    8.8 km   Turn sharp left
    8.8 km   Turn right
    9.0 km   Continue onto Boekenroodeweg
    9.9 km   Turn left onto Vogelenzangseweg
   10.7 km   Turn right onto 2e Leijweg
   11.2 km   Turn sharp right onto Woestduinweg
   11.9 km   Turn left onto Vogelenzangseweg
   12.5 km   Turn left onto Vogelenzangseweg
   13.2 km   Turn right onto Bekslaan
   13.6 km   Turn left onto Tweede Doodweg (follow 1.6 km)
   15.2 km   Turn sharp left onto Margrietenlaan
   15.6 km   Turn right onto Noorder Leidsevaart (follow 2.0 km)
   17.6 km   Turn right onto Beeklaan
   17.6 km   Turn left onto Zuider Leidsevaart (follow 2.6 km)
   20.2 km   Turn left onto Stationsweg (follow 1.1 km)
   21.3 km   Turn sharp left onto Loosterweg Noord
   21.6 km   Make a U-turn onto Loosterweg Noord
  ★ 21.6 km  [see] Back entrence Keukenhof
   21.8 km   Turn right onto Stationsweg (follow 1.1 km)
   22.9 km   Turn sharp left onto Leidsevaart
   22.9 km   Turn right
   23.8 km   Turn slight left onto Tespellaan
   23.9 km   Turn slight right onto Tespellaan
   24.5 km   Continue onto Oosterduinen
   24.6 km   Turn sharp right onto Oosterduinen
   24.9 km   Turn sharp right onto Oosterduinen
   25.0 km   Turn left
   25.7 km   Turn left onto Duinschooten
   26.3 km   Turn right onto Wilgendam (follow 1.0 km)
   27.4 km   Turn left onto Langevelderslag (follow 1.8 km)
   29.1 km   Turn left
   29.2 km   Make a U-turn
   29.3 km   Turn right onto Langevelderslag
   29.3 km   Turn left onto Langevelderslag
  ★ 29.4 km  [note] North Sea Beach
   29.6 km   Turn sharp left onto Rijwielpad Noordvoort (follow 7.5 km)
   37.1 km   Turn left onto Boulevard Paulus Loot (follow 1.0 km)
   38.1 km   Continue onto Thorbeckestraat
   38.3 km   At roundabout, take exit 1 onto Hogeweg
   38.8 km   Keep right onto Grote Krocht
   38.9 km   Keep right onto Doctor C.A. Gerkestraat
   39.3 km   Turn left onto Doctor C.A. Gerkestraat
   40.0 km   Turn left
   40.0 km   Turn left onto Zandvoortselaan
   40.0 km   Turn right onto Herman Heijermansweg
   40.2 km   Turn right
   40.3 km   Turn right (follow 1.1 km)
   41.4 km   Turn left onto Blinkertpad (follow 1.6 km)
   43.1 km   Turn sharp right onto Visserspad (follow 1.8 km)
   44.9 km   Turn right onto Rockartsduinweg
   45.2 km   Turn left onto Duinlustweg
   45.8 km   Turn left onto Zanderijvaart
   46.0 km   Turn sharp right onto Duinlustweg
   46.7 km   Turn right onto Zijlweg
   46.8 km   Turn right onto Zandvoorterpad (follow 1.0 km)
   47.8 km   Turn left onto Hoofmanstraat
   48.0 km   Turn right onto Garenkokerskade
   48.2 km   Turn left onto Pieter Kiesstraat
   48.2 km   Turn right onto Garenkokerskade
   48.3 km   Turn slight right onto Garenkokerskade
   48.4 km   Turn slight right onto Garenkokerskade
   48.5 km   Turn right
   48.5 km   Turn left
   48.8 km   Turn left onto Kruisstraat
   49.2 km   Turn right
   50.0 km   Turn left (follow 1.1 km)
   51.0 km   Turn right
