SOISSONS - COMPIÈGNE    46.3 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Soissons
    0.0 km   Turn left
    0.0 km   Turn right
    0.1 km   At roundabout, take exit 2 onto Avenue du Mail
    0.8 km   Turn left onto Boulevard Henri Martin
    1.4 km   At roundabout, take exit 2 onto Boulevard Édouard Branly
    2.3 km   At roundabout, take exit 2 onto Avenue du Bois Roger, D 91
    2.5 km   Continue onto D 91 (follow 2.2 km)
    4.7 km   Keep left onto Rue Pavée (follow 1.0 km)
  ★ 4.8 km  [coffee] Restaurant at brige with garden terrace
  ★ 5.1 km  [rest_stop] Port de Plaisance rest stop
    5.7 km   Turn left onto Rue de Vic-Sur-Aisne, D 91 (follow 9.9 km)
   15.6 km   Turn right onto Rue d'Ors, D 139 (follow 2.3 km)
   17.9 km   Turn right onto Rue de Fontenoy, D 91
  ★ 18.0 km  [bar] Vic sur Aisne several bars and shops
   18.0 km   Turn right onto Place du Général de Gaulle, D 2 (follow 1.6 km)
  ★ 18.7 km  [monument] WW1 Cemetery
   19.7 km   Keep left onto Rue du Général Maunoury, D 2
   19.7 km   Enter roundabout
   19.7 km   At roundabout, take exit 2 onto Avenue de la Gare, D 2
   20.4 km   Turn right (follow 1.9 km)
   22.3 km   Turn sharp right onto Le Muid, C 1 (follow 6.3 km)
   28.6 km   Turn right onto Rue du Port, D 335
  ★ 28.6 km  [coffee] Le Memento
   29.3 km   Turn right
   29.4 km   Turn right onto Rue Marcel Rinn, D 335
   29.6 km   Turn sharp left onto Rue des Mazures
  ★ 29.9 km  [convenience_store] Bakery
  ★ 30.0 km  [rest_stop] Picnic place
   30.6 km   Turn left onto Rue de Sainte-Claire, D 81 (follow 2.8 km)
   33.4 km   Turn right
   33.4 km   Turn left
   33.5 km   Continue onto D 81
   34.4 km   Continue onto Rue de Verdun, D 81 (follow 1.1 km)
   35.5 km   At roundabout, take exit 2 onto D 81 (follow 2.2 km)
   37.7 km   Turn left onto D 546
   38.4 km   Turn left
   38.4 km   Turn left
  ★ 38.6 km  [note] l'Armistice — Wagon of Marshal Foch
  ★ 38.6 km  [restroom] restroom
  ★ 38.6 km  [bike_parking] bike parking — take walking path trough forest to museum
   38.8 km   Turn sharp left
   38.8 km   Turn left onto Route du Général Weygand
   39.1 km   Turn right onto Route du Pré des Citernes
   39.4 km   Turn left onto D 546
   40.0 km   Turn sharp right onto Route du Carandeau
   40.3 km   Turn left (follow 5.7 km)
   46.0 km   Turn right onto Cours Guynemer
   46.0 km   Turn right
  ★ 46.3 km  [dock/stay] Docking Compiègne
