PARIS (BOUGIVAL) - AUVERS (VIA CERGY)    42.2 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [note] La Défense
    0.0 km   Start of ride
    0.0 km   Turn right
    0.1 km   Bear left
    0.2 km   Turn right
    0.5 km   Turn right and directly right again; through the parc back to the river
  ★ 0.5 km  [parking] barge Chatou
  ★ 0.5 km  [dock/stay] barge Rueil sur Seine/Bougival
    0.7 km   Turn right; river on your left (follow 2.3 km)
    3.0 km   Continue onto Chemin de Halage (follow 1.7 km)
    4.7 km   Bear right
    4.8 km   Turn right
    4.9 km   Turn right; cross bridge (follow 1.3 km)
    6.2 km   At roundabout, take exit 1 onto Avenue Gambetta
    6.3 km   Continue straight onto bike path
  ★ 6.6 km  [bar] cafes
    6.7 km   Turn right
    6.9 km   Turn left
    7.0 km   Ride around the roundabout, then left to exit parc
  ★ 7.2 km  [bar] cafe with terrace and view
    7.8 km   Bike trough gate then left, cross road
    8.1 km   Slight left onto Route du Pavillon Chinois
    8.4 km   Slight right onto Étoile d'Ayen
    8.6 km   Turn right onto Route de la Mare d'Ayen
    9.0 km   Turn left at Piste Cyclable and directly right onto bike path (follow 2.9 km)
   11.9 km   Turn right onto Route Vieille de Poissy (follow 2.3 km)
   14.2 km   Turn right onto Route de Poissy
   14.4 km   Turn left onto Route d'Achères (follow 1.3 km)
   15.7 km   Cross road then turn right
   16.5 km   Turn right
   16.6 km   Turn left onto Rue Deschamps Guérin
   16.9 km   Turn right
   17.0 km   Turn right onto Avenue de Stalingrad
   17.2 km   Turn left onto Rue du 8 Mai 1945
   17.5 km   At roundabout, take exit 2
   17.9 km   At roundabout take exit 2 onto Rue de Seine
   18.0 km   Turn right onto Rue de Seine
   18.5 km   Bear left (follow 1.4 km)
   20.0 km   Turn right
   20.1 km   Sharp left onto path; pass big stone
  ★ 20.1 km  [note] Gravel pad aan linkerhand om terug te keren naar rivier. Gemarkeerd door grote kei in het midden van het pad.
  ★ 20.1 km  [note] smal path marked by a big stone
   20.4 km   Turn slight right (follow 1.6 km)
   22.0 km   Turn left
   22.1 km   Turn left; cross bridge
   22.3 km   Turn right and directly right again
  ★ 22.3 km  [parking] barge Conflans
   22.3 km   Go down to the street; keep the river at your left (follow 3.3 km)
   25.6 km   Turn left
   25.8 km   Turn right; keep river on your left (follow 1.0 km)
   26.8 km   Turn right
   26.9 km   Turn left
   26.9 km   Turn sharp right
   26.9 km   Turn sharp left onto Chemin des Dagnaudes
   27.4 km   Turn slight right
   27.7 km   Turn left
   28.0 km   At roundabout, take exit 2 onto Rue de Neuville
   28.6 km   Turn right
   29.3 km   Turn right
   29.9 km   Continue straight onto Passage du Chemin Neuf
   30.2 km   Turn right onto Allée des Voies (follow 1.4 km)
   31.6 km   Turn left onto Chemin des Voies
   32.6 km   Turn right; underpass bridge (follow 1.8 km)
   34.4 km   Turn slight right; keep river at your right
   34.6 km   Slight right onto bike path
   34.9 km   Bear right onto Quai du Pothuis (follow 1.2 km)
   36.1 km   Turn left onto Chemin du Ruisseau
   36.2 km   Turn right (follow 1.6 km)
   37.8 km   Bear left onto Rue du Valhermeil
   38.0 km   Sharp right (follow 1.6 km)
   39.5 km   Bear left onto Rue des Meulières
   39.7 km   Bear left and directly right onto Rue de la Cheriette
   40.1 km   Bear right and directly bear left onto Rue Gachet
   40.9 km   Continue straight onto Rue Victor Hugo
   40.9 km   Continue straight onto bikepath
   41.1 km   Bear left onto Rue de Lery
   41.3 km   Bear right
   41.4 km   Bear left onto Rue Daubigny
   41.7 km   Bear right onto Rue de l'Église
  ★ 41.8 km  [note] Church Auvers
   41.8 km   Turn left
   41.9 km   Turn right onto Rue de Paris
   42.0 km   Turn left onto Rue Marcel Martin
   42.2 km   Turn right to the river. End of ride
  ★ 42.2 km  [dock/stay] barge Auvers sur Oise
