TRIER (STADT)  - SAARBURG    28.6 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Docking Trier (centre)
    0.0 km   Links halten
    0.1 km   Links halten
    0.1 km   Rechts abbiegen
    0.1 km   Links abbiegen
    0.1 km   Links abbiegen
    0.2 km   Links abbiegen auf Merianstraße
    0.4 km   Links abbiegen auf Friedrich-Ebert-Allee
    0.6 km   Rechts abbiegen auf Bruchhausenstraße
  ★ 0.9 km  [restroom] toilet (€ 1,-)
  ★ 0.9 km  [restroom] Restroom
  ★ 1.0 km  [bike_parking] Possible bike parking here
    1.1 km   Rechts abbiegen auf Porta-Nigra-Vorplatz
  ★ 1.1 km  [dock/stay] Docking Trier (Pfalzel)
  ★ 1.1 km  [dock/stay] Ostkai Trier mooring
  ★ 1.1 km  [restroom] toilet (€ 0,50)
  ★ 1.1 km  [bike_parking] Possible bike parking here
    1.1 km   Links abbiegen
    1.6 km   Links halten
    1.7 km   Rechts abbiegen
    1.8 km   Rechts abbiegen auf Friedrich-Ebert-Allee
    2.0 km   Rechts abbiegen
    2.1 km   Rechts abbiegen
    2.1 km   Rechts abbiegen
    2.1 km   Links abbiegen
    2.1 km   Scharf links abbiegen
    2.2 km   Leicht links abbiegen
    2.2 km   Rechts halten
    2.6 km   Rechts halten (follow 4.3 km)
    6.9 km   Rechts halten (follow 3.9 km)
   10.7 km   Rechts abbiegen auf Am Moselufer
   10.8 km   Leicht links abbiegen auf Am Moselufer (follow 1.5 km)
  ★ 10.9 km  [coffee] Café Konz
  ★ 11.4 km  [coffee] Cafe Treff
   12.3 km   Rechts abbiegen (follow 3.7 km)
   16.0 km   Links abbiegen auf Marienstraße
   16.0 km   Rechts abbiegen auf Reitweg
   16.1 km   Rechts abbiegen auf Hammerfähre (follow 1.9 km)
   18.0 km   Leicht rechts abbiegen auf L 137
   18.2 km   Links abbiegen auf Kirchstraße
   18.3 km   Links abbiegen auf Kirchstraße
  ★ 18.6 km  [restroom] Restroom — In the back of building
   18.8 km   Scharf rechts abbiegen
   19.0 km   Links abbiegen
   19.1 km   Links abbiegen auf K 147 (follow 1.2 km)
   20.3 km   Links abbiegen
   21.0 km   Links halten
   21.1 km   Leicht links abbiegen (follow 2.3 km)
   23.4 km   Links abbiegen
   23.6 km   Links abbiegen
   24.0 km   Dem Straßenverlauf folgen (follow 2.2 km)
   26.2 km   Rechts halten (follow 1.7 km)
  ★ 26.6 km  [dock/stay] Docking Saarburg (alternative)
   27.9 km   Links abbiegen
   28.0 km   Rechts abbiegen auf Brückenstraße, L 138
   28.2 km   Leicht rechts abbiegen auf Brückenstraße, L 132
   28.4 km   Rechts abbiegen auf Staden
  ★ 28.4 km  [see] Waterfall
   28.5 km   Links abbiegen
  ★ 28.5 km  [restroom] Restroom
   28.6 km   Links abbiegen
  ★ 28.6 km  [dock/stay] Docking Saarburg (centre)
