HUIZEN - CRAILOO - AMSTERDAM (MINERVA)    49.5 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Aanlegplaats Huizen
    0.0 km   Start fietstocht langs de Havenstraat
    0.5 km   Rechtsaf
    0.8 km   Linksaf
    1.0 km   Houd rechts aan naar Baanbergenweg
    1.5 km   Rechtsaf naar Hellingstraat
    1.7 km   Rechtsaf naar Hellingstraat
    1.7 km   Linksaf naar Hellingstraat
    1.8 km   Linksaf naar Zeeweg
    1.9 km   Houd rechts aan naar Zeeweg
  ★ 2.0 km  [note] Huizen Centrum
    2.1 km   Rechtsaf naar Havenstraat
    2.2 km   Linksaf naar Ceintuurbaan
    2.5 km   Rechtdoor naar Ceintuurbaan
    2.7 km   Rechtsaf naar Nieuwe Kerklaan
    2.8 km   Linksaf naar Lage Laarderweg
    3.2 km   Rechtsaf naar Doctor Kuyperlaan
    3.4 km   Rechtsaf
    4.0 km   Houd links aan
    4.4 km   Houd links aan naar KP 80
    5.0 km   Rechtdoor naar KP 80
    5.2 km   Rechtdoor
  ★ 5.2 km  [coffee] Restaurant Tafelberg
    5.3 km   Rechtsaf naar KP 66
    5.3 km   Linksaf naar KP 66
    5.5 km   Houd links aan op het fietspad naar KP 66
    5.9 km   Scherpe bocht naar rechts naar Tafelbergweg
    6.1 km   Rechtsaf naar Professor van Reeslaan
    6.7 km   Rechtdoor
    7.0 km   Rechtsaf
    7.1 km   Houd rechts aan
  ★ 7.1 km  [see] Museum Singer Laren
    7.2 km   Rechtdoor naar KP 51
    8.0 km   Houd rechts aan het fietspad op naar KP 51
    8.1 km   Rechtsaf naar KP 51
    8.6 km   Linksaf naar KP 51
  ★ 8.6 km  [note] Bussumerheide
    9.5 km   Scherpe bocht naar rechts
   10.5 km   Houd rechts aan (follow 1.1 km)
   11.6 km   Rechtsaf naar KP 50
   11.6 km   Rechtsaf naar KP 50
   12.0 km   Scherpe bocht naar links (follow 1.3 km)
  ★ 13.1 km  [note] Ecoduct Crailo — over spoorwegen en wegen
   13.4 km   Scherpe bocht naar links
   13.4 km   Rechtsaf
   13.7 km   Linksaf
  ★ 14.4 km  [note] Spanderswoud
   14.4 km   Rechtsaf
   14.6 km   Linksaf naar Weg door 't Kamp (follow 1.3 km)
   15.9 km   Rechtsaf naar Melkweg
   16.7 km   Linksaf naar Franse Kampweg
   16.8 km   Rechtsaf
   16.8 km   Houd links aan (follow 2.0 km)
  ★ 17.5 km  [coffee] Theetuin Juffrouw Jansen — Kinderboerderij met terras
   18.8 km   Rechtsaf naar Naardermeer (follow 2.2 km)
  ★ 20.2 km  [note] Naardermeer
   21.1 km   Houd links aan
   21.4 km   Rechtsaf naar Voormeer
   21.9 km   Linksaf naar KP 33
   22.0 km   Rechtsaf naar Kon. Wilhelminalaan
   22.1 km   Rechtdoor naar Koningin Wilhelminalaan
   22.8 km   Linksaf naar KP 18
  ★ 22.8 km  [see] Naarden Vesting Museum
   23.1 km   Linksaf naar Burgemeester Wesselingplein
  ★ 23.1 km  [coffee] Naarden horeca en terrassen
  ★ 23.1 km  [see] Grote Kerk — in 2025 niet te bezichtigen ivm restauratie plafond
  ★ 23.1 km  [note] Comenius Museum
  ★ 23.1 km  [note] Naarden Bezoekerscentrum — gratis entree en VVV
   23.3 km   Rechtsaf naar Admiraal Helfrichweg
   23.5 km   Linksaf naar Zuiderzeepad (follow 1.1 km)
   24.5 km   Houd links aan
   24.8 km   Linksaf
   25.0 km   Houd rechts aan
   25.4 km   Linksaf (follow 1.2 km)
   26.6 km   Linksaf
   27.6 km   Rechtsaf naar Nienhuis Ruijskade
  ★ 28.3 km  [coffee] De Leeuwenkuil
   28.4 km   Linksaf naar Badlaan
  ★ 28.4 km  [rest_stop] Bankjes met uitzicht op Almere
  ★ 28.5 km  [swimming] Strand
  ★ 28.7 km  [coffee] Café Muiderberg
   28.9 km   Houd rechts aan naar Brink
   28.9 km   Rechtsaf naar Brink
   29.1 km   Rechtsaf naar Dijkweg
   29.1 km   Houd links aan naar Dijkweg (follow 3.9 km)
   33.0 km   Linksaf naar Vestingplein
   33.1 km   Rechtsaf naar Naarderstraat
  ★ 33.1 km  [food] Vis, kaas en patat
  ★ 33.3 km  [food] Muiden sluis; terrassen
  ★ 33.3 km  [atm] ATM
   33.5 km   Rechtsaf naar Burgemeester de Raadtsingel
  ★ 33.5 km  [convenience_store] Cheese shop De Groene Griffioen
   33.6 km   Rechtsaf naar Korte Zeestraat
   33.7 km   Linksaf naar Zeestraat
  ★ 33.7 km  [see] Muiderslot
   33.8 km   Rechtdoor naar Zeestraat (follow 5.0 km)
  ★ 34.2 km  [note] Fort Stelling van Amsterdam
  ★ 38.7 km  [see] Fort Diemerdam: Stelling van Amsterdam
   38.8 km   Houd rechts aan naar Diemerzeedijk (follow 3.0 km)
  ★ 39.4 km  [note] IJburg
   41.8 km   Linksaf naar Nesciobrug
  ★ 42.2 km  [see] Nesciobrug
   42.6 km   Linksaf naar Westelijke Merwedekanaaldijk (follow 1.5 km)
   44.2 km   Rechtsaf naar Westelijke Merwedekanaaldijk
   44.2 km   Houd rechts aan naar Flevoparkweg
   44.8 km   Rechtsaf naar Zeeburgerdijk
   44.9 km   Houd links aan naar Zeeburgerdijk
   45.4 km   Rechtsaf naar Zeeburgerdijk
   45.7 km   Rechtsaf naar KP 05 (follow 2.7 km)
  ★ 47.5 km  [dock/stay] Aanlegplaats Javakade
  ★ 47.9 km  [dock/stay] Aanlegplaats PTA passenger terminal
