WAGENINGEN-DOESBURG (AIRBORNE MUSUEM THROUGH RANDWIJK)    47.7 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Rechtsaf naar Grebbedijk
    0.3 km   Houd links aan naar Havenafweg
    0.4 km   Houd rechts aan naar Nudestraat
    0.6 km   Rechtsaf naar Emmapark
    0.8 km   Linksaf naar Niemeijerstraat
    1.0 km   Rechtsaf naar Salverdaplein
    1.1 km   Linksaf naar Herenstraat
    1.3 km   Rechtsaf naar Bergstraat
    1.4 km   Blijf op 5 Mei Plein
    1.5 km   Houd rechts aan naar 5 Mei Plein
    1.6 km   Linksaf naar Veerstraat (follow 1.2 km)
    2.8 km   Blijf op Onderlangs
    2.9 km   Rechtsaf naar Veerdam (follow 1.1 km)
    4.0 km   Linksaf naar Randwijkse Rijndijk
    4.1 km   Rechtsaf naar Randwijkse Rijndijk
    4.1 km   Linksaf naar Randwijkse Rijndijk (follow 4.6 km)
    8.7 km   Linksaf naar Kastanjelaan (follow 4.0 km)
   12.8 km   Houd rechts aan naar Kerkstraat
   12.8 km   Linksaf naar Kerkstraat
   12.9 km   Houd rechts aan naar Drielse Rijndijk (follow 1.3 km)
   14.2 km   Linksaf naar Drielse Rijndijk
   14.4 km   Houd links aan naar Drielse Veer
   14.7 km   Ga rechtdoor
   14.9 km   Rechtsaf naar Veerweg
   15.3 km   Rechtsaf naar Benedendorpsweg (follow 1.1 km)
   16.5 km   Houd rechts aan naar Benedendorpsweg
   16.7 km   Linksaf naar Van Toulon van der Koogweg
   16.9 km   Linksaf naar Geelkerkenkamp
   17.3 km   Rechtsaf naar Fangmanweg
   17.4 km   Linksaf naar De Dam
   17.5 km   Linksaf naar Weverstraat
   17.5 km   Rechtsaf naar Van Eeghenweg
   17.7 km   Rechtsaf naar Pietersbergseweg
   17.9 km   Blijf op Pietersbergseweg
   18.3 km   Linksaf naar Utrechtseweg
   18.4 km   Linksaf
   18.5 km   Rechtsaf
   18.6 km   Rechtsaf
  ★ 18.6 km  [note] Museum
   18.7 km   Linksaf
   18.8 km   Rechtsaf naar J.J. Talsmalaan
   19.1 km   Linksaf naar Sandersweg
   19.2 km   Rechtsaf naar Sandersweg
   19.2 km   Houd rechts aan naar Pietersbergseweg
   19.3 km   Linksaf naar Van Eeghenweg
   19.5 km   Linksaf naar Weverstraat
   19.6 km   Rechtsaf naar De Dam
   19.7 km   Rechtsaf naar Fangmanweg
   19.7 km   Blijf op Fangmanweg
   19.7 km   Linksaf naar Geelkerkenkamp
   20.1 km   Rechtsaf naar Van Toulon van der Koogweg
   20.3 km   Linksaf naar Benedendorpsweg
   20.5 km   Rechtsaf naar Benedendorpsweg (follow 2.1 km)
   22.6 km   Blijf op Hulkesteinseweg
   23.0 km   Houd links aan naar Utrechtseweg (follow 1.5 km)
   24.5 km   Houd links aan naar Willemsplein
   24.5 km   Linksaf naar Willemsplein
  ★ 24.6 km  [note] Arnhem
   24.6 km   Houd rechts aan naar Willemsplein
   24.8 km   Blijf op Gele Rijders Plein
   25.2 km   Rechtsaf naar Velperplein
   25.2 km   Houd rechts aan naar Velperbinnensingel
   25.7 km   Linksaf naar Airborneplein
   25.7 km   Neem afslag 2 naar Airborneplein op de rotonde
   26.1 km   Rechtsaf naar Rietgrachtstraat
   26.5 km   Linksaf naar Nieuwe Kade
   27.0 km   Houd rechts aan naar Westervoortsedijk
   27.9 km   Blijf op Westervoortsedijk
   28.3 km   Linksaf naar Westervoortsedijk
   28.4 km   Linksaf naar Westervoortsedijk
   28.4 km   Linksaf naar Westervoortsedijk
   28.4 km   Linksaf naar Westervoortsedijk (follow 1.0 km)
   29.5 km   Linksaf
   29.7 km   Rechtsaf naar Zevenaarseweg
   29.7 km   Linksaf naar Zevenaarseweg (follow 1.6 km)
   31.3 km   Blijf op Schaapdijk (follow 1.1 km)
   32.4 km   Houd rechts aan naar De Beemd
   32.7 km   Ga linksaf naar De Beemd (follow 1.2 km)
   33.9 km   Houd rechts aan naar Lathumsedijk (follow 1.7 km)
   35.6 km   Linksaf naar Bandijk (follow 2.1 km)
   37.7 km   Houd links aan naar Bandijk (follow 1.0 km)
   38.7 km   Linksaf naar Strandpad
   38.7 km   Rechtsaf naar Strandpad (follow 1.9 km)
   40.6 km   Rechtsaf naar Kerkstraat
   40.7 km   Ga linksaf naar Bingerdensedijk
   40.8 km   Linksaf naar Bingerdensedijk
   41.8 km   Linksaf naar Bingerdensedijk
   42.1 km   Linksaf (follow 1.2 km)
   43.3 km   Linksaf naar Rivierweg
   43.4 km   Rechtsaf naar Rivierweg
   43.4 km   Linksaf naar Rivierweg
   43.5 km   Linksaf naar Bingerdenseweg (follow 1.2 km)
   44.6 km   Linksaf
   44.7 km   Ga rechtdoor (follow 1.5 km)
   46.2 km   Houd links aan
   46.6 km   Ga linksaf
   47.2 km   Linksaf naar Turfhaven
   47.5 km   Linksaf naar Hanzeweg
   47.5 km   Houd rechts aan naar IJsselkade
   47.7 km   Linksaf
   47.7 km   Rechtsaf
  ★ 47.7 km  [dock/stay] Mooring Doesburg
