MALI LOŠINJ LOOP    21.5 km    · signs & notes only ·

DIRECTIONS
    0.2 km   Links afslaan naar Riva lošinjskih kapetana
    0.4 km   Rechts afslaan
    0.4 km   Links afslaan naar Trg Republike Hrvatske
    0.5 km   Links afslaan naar Ulica Marija Martinolića
    0.5 km   Rechts afslaan
    0.5 km   Rechts afslaan
    0.6 km   Rechts afslaan
    0.6 km   Rechts afslaan naar Ulica braće Ivana i Stjepana Vidulića
    1.2 km   Links afslaan naar Priko
    1.4 km   Links afslaan
    1.4 km   Rechts afslaan
    1.5 km   Links afslaan
    1.5 km   Links afslaan
    1.5 km   Rechts afslaan
    2.2 km   Rechts afslaan
    2.6 km   Links afslaan (follow 1.2 km)
    3.9 km   Rechtdoor (follow 1.5 km)
    5.3 km   Rechtdoor
    5.5 km   Rechtdoor (follow 2.7 km)
    8.2 km   Rechts afslaan
    8.9 km   Rechts afslaan
    8.9 km   Rechts afslaan
    9.4 km   Rechts afslaan
    9.5 km   Rechts afslaan
    9.5 km   Hoe rechts aan (follow 1.7 km)
   11.2 km   Rechts afslaan
   11.8 km   Links afslaan
   11.9 km   Rechts afslaan
   12.1 km   Links afslaan
   12.4 km   Rechts afslaan naar 5160 (follow 1.1 km)
   13.5 km   Rechts afslaan
   13.6 km   Links afslaan
   13.7 km   Rechts afslaan (follow 1.1 km)
   14.8 km   Neem op de rotonde de eerste afslag naar D100 (follow 2.0 km)
   16.8 km   Hoe links aan
   16.8 km   Rechtdoor
   17.0 km   Links afslaan
   17.1 km   Rechtdoor
   17.6 km   Rechts afslaan
   17.7 km   Links afslaan naar Obala Maršala Tita
   18.1 km   Rechts afslaan
   18.3 km   Links afslaan
   18.4 km   Rechts afslaan
   18.6 km   Rechts afslaan
   18.7 km   Links afslaan (follow 1.7 km)
   20.4 km   Links afslaan
   20.5 km   Rechts afslaan
   20.8 km   Links afslaan
   20.9 km   Rechts afslaan naar Ulica braće Ivana i Stjepana Vidulića
   21.0 km   Rechts afslaan naar Ulica braće Ivana i Stjepana Vidulića
   21.0 km   Neem op de rotonde de tweede afslag naar Ulica braće Ivana i Stjepana Vidulića
