MAINZ - RÜDESHEIM    44.3 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Start Radtour; Wasser zur rechten Seite
    0.1 km   Geradeaus weiterfahren
    0.3 km   Schräg links
    0.4 km   Rechts abbiegen
  ★ 0.4 km  [note] Mainz center
    0.5 km   Geradeaus weiterfahren
  ★ 0.6 km  [dock/stay] Mooring Mainz
    0.6 km   Links abbiegen
    0.7 km   Rechts abbiegen
    1.4 km   Schräg rechts
    1.4 km   Geradeaus weiterfahren
    1.5 km   Rechts abbiegen
    1.6 km   Rechts abbiegen
    1.9 km   Schräg rechts (follow 1.0 km)
    2.9 km   Rechts abbiegen
    2.9 km   Links abbiegen
    3.5 km   Schräg links
    4.0 km   Rechts abbiegen
    4.0 km   Links abbiegen (follow 1.9 km)
    5.9 km   Am Kreisverkehr nehmen Sie die Ausfahrt 2 auf die Rheingaustraße
    6.0 km   Links abbiegen
    6.1 km   Rechts abbiegen
    6.4 km   Schräg links
    6.5 km   Rechts abbiegen
    6.7 km   Schräg links (follow 1.0 km)
    7.8 km   Rechts abbiegen
    7.8 km   Links abbiegen
    8.7 km   Links abbiegen
    8.9 km   Rechts abbiegen
    9.5 km   Schräg links
    9.6 km   Links abbiegen
   10.0 km   Scharf links
   10.2 km   Links abbiegen
   10.4 km   Links abbiegen
   10.7 km   Scharf rechts (follow 1.7 km)
   12.4 km   Links abbiegen
   13.0 km   Rechts abbiegen
   13.2 km   Links abbiegen
   13.2 km   Rechts abbiegen
   13.5 km   Rechts abbiegen
   13.5 km   Schräg links (follow 2.7 km)
   16.2 km   Geradeaus weiterfahren
  ★ 16.2 km  [restroom] Restroom Eltville
  ★ 16.2 km  [see] Eltville Castle
   16.3 km   Rechts abbiegen
   16.5 km   Geradeaus weiterfahren
   16.5 km   Rechts abbiegen
   16.6 km   Rechts abbiegen
  ★ 16.6 km  [note] Eltville
   16.8 km   Links abbiegen
   16.8 km   Links abbiegen
   17.1 km   Geradeaus weiterfahren
   17.3 km   Rechts abbiegen
   17.4 km   Schräg rechts
   17.6 km   Rechts abbiegen
   18.3 km   Rechts abbiegen
   18.6 km   Scharf links
   19.6 km   Schräg rechts
   20.4 km   Geradeaus weiterfahren (follow 3.2 km)
   23.6 km   Schräg rechts
  ★ 23.9 km  [monument] Monastry Eberbach
   24.0 km   Schräg rechts
   24.0 km   Rechts abbiegen
   24.1 km   Schräg rechts
   24.2 km   Schräg rechts
   24.3 km   Schräg links (follow 1.1 km)
   25.4 km   Rechts abbiegen
   25.6 km   Schräg rechts
   25.9 km   Schräg links
   26.0 km   Schräg links
   26.0 km   Links abbiegen
   26.1 km   Rechts abbiegen
   26.2 km   Schräg rechts
   26.4 km   Scharf rechts
   26.4 km   Links abbiegen
   26.8 km   Links abbiegen
   26.8 km   Rechts abbiegen
   27.1 km   Scharf links
   27.7 km   Links abbiegen
   27.8 km   Rechts abbiegen
   28.0 km   Geradeaus weiterfahren
   28.0 km   Links abbiegen
   28.0 km   Rechts abbiegen
   28.1 km   Links abbiegen
   28.3 km   Geradeaus weiterfahren
   28.3 km   Rechts abbiegen
   28.6 km   Rechts abbiegen
   28.7 km   Rechts abbiegen (follow 1.6 km)
   30.3 km   Links abbiegen
   31.0 km   Schräg rechts
   31.3 km   Rechts abbiegen (follow 1.2 km)
   32.4 km   Links abbiegen
   32.7 km   Schräg rechts
   32.9 km   Schräg links
   33.0 km   Rechts abbiegen
   33.5 km   Rechts abbiegen
   33.6 km   Links abbiegen (follow 1.5 km)
   35.1 km   Links abbiegen
   35.3 km   Rechts abbiegen (follow 1.0 km)
   36.3 km   Links abbiegen
   36.4 km   Links abbiegen
   36.7 km   Links abbiegen
   36.9 km   Rechts abbiegen
   37.1 km   Rechts abbiegen
   37.9 km   Rechts abbiegen
   37.9 km   Links abbiegen
   38.0 km   Schräg links
   38.1 km   Rechts abbiegen
   38.5 km   Schräg links
   39.3 km   Geradeaus weiterfahren
   39.3 km   Links abbiegen
   40.0 km   Rechts abbiegen
   40.2 km   Links abbiegen
  ★ 40.7 km  [note] Hindenburg bridge Rüdesheim — ruines, Unesco
   40.7 km   Links abbiegen (follow 1.1 km)
   41.7 km   Links abbiegen
   41.8 km   Schräg links
  ★ 41.8 km  [dock/stay] Mooring Rüdesheim
   42.0 km   Links abbiegen
   42.8 km   Links abbiegen
   42.9 km   Geradeaus weiterfahren
   43.0 km   Schräg links
   43.8 km   Scharf rechts
   43.9 km   Links abbiegen
   44.2 km   Schräg links
  ★ 44.2 km  [dock/stay] Mooring Bingen
