TOURNON-SUR-RHÔNE – CHAVANAY    50.2 km    · signs & notes only ·

DIRECTIONS
    0.1 km   Continue
    0.7 km   Turn slight right onto Promenade Roche Defrance
    1.1 km   Turn right
    1.2 km   Turn left
    1.7 km   Turn right onto Promenade du Doux
    2.2 km   Turn right (follow 3.5 km)
    5.7 km   Turn left
    5.8 km   Turn slight right (follow 2.5 km)
    8.4 km   Turn right (follow 2.0 km)
   10.4 km   Keep left onto Chemin de Halage
   10.5 km   Keep left onto Route du Dauphiné
   10.6 km   Turn right (follow 4.6 km)
   15.2 km   Keep right onto ViaRhôna (follow 1.8 km)
   17.0 km   Turn left
   17.0 km   Turn slight right onto Rue du Rhône
   17.1 km   Turn right
   17.2 km   Turn right onto Avenue du Vivarais
   17.5 km   At roundabout, take exit 4 onto Avenue Jean Jaurès
   17.6 km   Turn left
   17.9 km   Turn left onto Chemin des Iles de Silon (follow 6.2 km)
   24.1 km   Turn left onto D 257
   24.2 km   Turn sharp left onto ViaRhôna
   24.9 km   Continue onto Quai Gambetta
   25.2 km   Keep right onto Quai Christophle
   25.4 km   Keep right onto Rue des Clots
   25.6 km   Turn left onto Rue des Usines
   26.5 km   Turn left onto Quartier Les Marettes (follow 2.2 km)
   28.7 km   Turn left onto Route du Port de Champagne
   28.9 km   Turn left onto ViaRhôna (follow 4.3 km)
   33.2 km   Turn left
   33.2 km   Turn left onto Route de l'Écluse
   33.9 km   Turn left onto ViaRhôna
   34.7 km   Turn sharp left
   34.8 km   Keep left onto Rue Moly Sabata
   35.3 km   Turn left onto Rue Moly Sabata
   35.5 km   Turn slight left onto Quai du Rhône
   36.4 km   Keep left onto Quai du Château
   36.4 km   Turn right
   36.5 km   Turn left onto Route du Péage
   36.8 km   At roundabout, take exit 2 onto Route du Péage
   37.4 km   Turn right onto Rue des Granges (follow 8.5 km)
   45.9 km   Continue onto ViaRhôna
