KAMPEN - HARDERWIJK (ÜBER FLEVOLAND, ELBURG & NUNSPEET)    58.6 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Links abbiegen auf Vispoort
    0.4 km   Rechts abbiegen auf Voorstraat
    0.5 km   Rechts abbiegen auf Buiten Nieuwstraat
    0.6 km   Links abbiegen auf Burgwal
    0.7 km   Rechts abbiegen auf Broederbrug
    0.9 km   Dem Straßenverlauf folgen
  ★ 0.9 km  [see] Broederpoort — Built in 1465
    1.0 km   Links abbiegen auf Broedersingel
    1.4 km   Rechts abbiegen auf Cellesbroeksweg (follow 2.2 km)
    3.6 km   Links abbiegen auf Zwartendijk
    4.6 km   Scharf rechts abbiegen auf Bovenbroeksweg
    4.8 km   Scharf links abbiegen auf Zwartendijk (follow 1.1 km)
    5.9 km   Rechts halten
    6.1 km   Scharf links abbiegen
    6.2 km   Rechts abbiegen
    6.2 km   Scharf links abbiegen
    6.3 km   Rechts abbiegen auf Nieuwendijk
    6.6 km   Rechts abbiegen (follow 1.2 km)
    7.9 km   Rechts halten
    8.3 km   Rechts halten (follow 1.5 km)
    9.8 km   Links halten
    9.8 km   Links halten
  ★ 10.5 km  [note] Reevesluis Lock
   10.6 km   Dem Straßenverlauf von Drontermeerdijk folgen
   10.7 km   Rechts halten auf Stobbenweg
   10.8 km   Leicht rechts abbiegen auf Stobbenweg
   11.1 km   Links abbiegen (follow 1.4 km)
   12.5 km   Rechts halten
   13.4 km   Links halten
   14.1 km   Links halten (follow 1.1 km)
   15.2 km   Rechts abbiegen auf Abbertweg
   15.8 km   Rechts halten
   16.4 km   Dem Straßenverlauf folgen
   16.5 km   Links abbiegen auf Stobbenweg (follow 2.6 km)
   19.1 km   Links abbiegen
  ★ 19.3 km  [see] Kop van het Ende — Former Harbour Entrance to Elburg, when this was a tidal sea. (Zuiderzee)
   19.5 km   Rechts abbiegen auf Drontermeerdijk
   19.7 km   Links abbiegen auf Elburgerweg
   20.0 km   Rechts abbiegen auf Elburgerweg
   20.6 km   Links abbiegen auf Flevoweg
   21.6 km   Links abbiegen auf Havenkade
  ★ 21.7 km  [see] Harbour with old fishing boats — Wooden Botter Ships
   21.7 km   Rechts abbiegen auf Havenstraat
   21.8 km   Dem Straßenverlauf von Vischpoortstraat folgen
   22.0 km   Rechts abbiegen auf Beekstraat
  ★ 22.0 km  [see] Elburg historical centre
   22.2 km   Rechts abbiegen auf Bagijnendijkje
   22.7 km   Links abbiegen auf Flevoweg
   23.5 km   Links abbiegen auf Gerichtenweg (follow 1.2 km)
   24.7 km   Links abbiegen auf Oude Harderwijkerweg
   25.3 km   Links abbiegen auf Broekdijk
   25.3 km   Rechts abbiegen auf Stadsweg
   25.4 km   Rechts abbiegen auf Stadsweg
   25.4 km   Rechts abbiegen auf Huisdijk (follow 1.6 km)
  ★ 25.4 km  [see] A. Vogel Gardens — Famous Herb Gardens (free entrance)
   27.0 km   Links abbiegen auf Oude Harderwijkerweg
   27.2 km   Links abbiegen auf Zuiderzeestraatweg West
   27.7 km   Rechts halten auf Zuiderzeestraatweg West
   28.5 km   Links abbiegen auf Rode Landsweg (follow 1.7 km)
  ★ 28.5 km  [see] Cheesefarm Van Zeeburg
   30.3 km   Rechts abbiegen auf Bovenweg
   30.9 km   Links abbiegen auf Klaterweg (follow 2.2 km)
   33.1 km   Rechts halten auf Noorderweg
   33.2 km   Rechts halten auf W. G. Lohmanpad (follow 1.4 km)
   34.6 km   Links abbiegen auf Eperweg
   34.7 km   Scharf rechts abbiegen auf Eperweg
   34.8 km   Leicht rechts abbiegen
   34.9 km   Rechts halten
   34.9 km   Links halten
   35.0 km   Dem Straßenverlauf von Wijnbergenlaan folgen
   35.1 km   Links halten auf Wijnbergenlaan
   35.3 km   Scharf rechts abbiegen auf Waskolkpad
   36.0 km   Links abbiegen
  ★ 36.1 km  [food] Kiosk
  ★ 36.1 km  [swimming] Beach
  ★ 36.2 km  [swimming] Beach Zandenplas
   36.3 km   Links abbiegen auf Lagerwey Bospad (follow 1.8 km)
   38.0 km   Rechts abbiegen auf Vennenpad
   38.9 km   Rechts abbiegen auf Plesmanlaan
   39.0 km   Links abbiegen
   39.0 km   Rechts halten
   39.0 km   Rechts abbiegen
  ★ 39.0 km  [food] Pancake restaurant De Boskabouter
  ★ 39.1 km  [see] Observation tower
  ★ 39.1 km  [restroom] Public restrooms
  ★ 39.2 km  [food] Several restaurants
   39.3 km   Links abbiegen auf F.A. Molijnlaan
   39.3 km   Rechts abbiegen auf Stationslaan
  ★ 39.8 km  [see] Nunspeet city centre
   39.8 km   Links abbiegen auf Harderwijkerweg
   40.6 km   Links abbiegen auf Nijverheidsweg
   40.8 km   Rechts abbiegen auf Jan Topweg
   41.7 km   Rechts abbiegen auf Onder de Bos
   41.9 km   Links abbiegen auf Schotweg
   41.9 km   Links halten auf Berkensingel (follow 1.4 km)
   43.3 km   Rechts abbiegen auf Brandsweg (follow 1.0 km)
   44.3 km   Links abbiegen auf Harderwijkerweg
   44.5 km   Links abbiegen auf Akkerweg
   44.9 km   Leicht rechts abbiegen auf Kapelweg
   45.0 km   Scharf links abbiegen auf Kapelweg
   45.1 km   Links abbiegen auf Zandhuisweg
   45.3 km   Rechts abbiegen auf Molenpad
   45.6 km   Links abbiegen auf Klarenweg
   45.8 km   Links abbiegen auf Klarenweg
   46.3 km   Rechts abbiegen auf Onder de Bos
   46.6 km   Rechts abbiegen auf Onder de Bos (follow 1.3 km)
   47.9 km   Rechts abbiegen auf Oudeweg
   48.2 km   Scharf links abbiegen auf Vuurkuilweg
  ★ 48.5 km  [bar] Brasserie Poorter
   48.8 km   Scharf links abbiegen auf Hessenweg
   49.0 km   Rechts abbiegen auf Molenweg (follow 1.4 km)
  ★ 50.2 km  [bar] Bosrestaurant het Draakje
   50.4 km   Scharf links abbiegen auf Duinweg
   50.6 km   Rechts abbiegen auf Lage Enkweg
   50.7 km   Rechts halten auf Lage Enkweg
   51.5 km   Leicht rechts abbiegen auf Lokhorsterweg
   51.6 km   Links abbiegen auf Bijltjesweg
   52.0 km   Dem Straßenverlauf von Grevenhofsweg folgen
   52.1 km   Rechts abbiegen auf Grevenhofsweg
   52.2 km   Links abbiegen auf Kruisweg
   52.4 km   Rechts halten auf Kruisweg
   53.2 km   Links abbiegen auf Zuiderzeestraatweg
   53.6 km   Leicht rechts abbiegen auf Boomkamp
   53.9 km   Links halten auf Oosteinde
   54.1 km   Rechts abbiegen auf Kwekerspad
   54.4 km   Rechts abbiegen auf Spoorpad
   54.9 km   Links abbiegen auf Spoorpad
   54.9 km   Rechts halten auf Flevoweg
   55.0 km   Links halten auf Burgemeester De Meesterstraat
   55.0 km   Links abbiegen auf Burgemeester De Meesterstraat
   55.1 km   Leicht links abbiegen auf Burgemeester De Meesterstraat
  ★ 55.4 km  [see] Grainmill De Hoop (free entrance)
   55.5 km   Rechts abbiegen auf Havendam
   55.8 km   Leicht rechts abbiegen auf Havendam
   55.8 km   Rechts halten auf Strandboulevard Oost
   55.9 km   Scharf links abbiegen auf Strandboulevard Oost
  ★ 56.1 km  [food] Fish restaurant
   56.1 km   Scharf links abbiegen auf Vischmarkt
  ★ 56.1 km  [swimming] Beach Harderwijk
  ★ 56.2 km  [see] Vispoort
   56.2 km   Rechts abbiegen auf Vischmarkt
   56.3 km   Links abbiegen auf Hoogstraat
  ★ 56.3 km  [see] Harderwijk city centre
   56.6 km   Links abbiegen auf Scheepssingel
   57.1 km   Leicht rechts abbiegen auf Burgemeester De Meesterstraat (follow 1.1 km)
  ★ 57.5 km  [see] Eel museum and smoke house
   58.1 km   Links abbiegen auf Einsteinstraat
   58.5 km   Rechts abbiegen auf Lorentzkade
  ★ 58.6 km  [dock/stay] Docking Harderwijk (Lorentzkade)
