HAARLEM (STADT) - KEUKENHOF - LEIDEN (DURCH DÜNEN)    50.2 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Rechts abbiegen auf Bakenessergracht
    0.2 km   Rechts halten auf Spaarne
    0.6 km   Rechts abbiegen auf Kampervest
    0.9 km   Links abbiegen auf Kleine Houtstraat
    1.7 km   Rechts abbiegen auf Hertenkamplaan
    1.9 km   Rechts abbiegen auf Fonteinlaan
    1.9 km   Links abbiegen auf Fonteinlaan
    2.0 km   Rechts abbiegen auf Koningin Wilhelminalaan
    2.1 km   Dem Straßenverlauf von Zandvoorterpad folgen
    2.3 km   Rechts halten auf Hendriklaan
    2.4 km   Rechts abbiegen auf Helenalaan
    2.6 km   Links abbiegen
    2.6 km   Rechts abbiegen auf Spruitenbosstraat
    2.8 km   Dem Straßenverlauf von Oranjeplein folgen
    2.8 km   Rechts abbiegen auf Berkenrodestraat
    3.0 km   Dem Straßenverlauf von Schouwtjesplein folgen
    3.0 km   Links abbiegen auf Schouwtjeslaan
    3.1 km   Leicht rechts abbiegen auf Pijlslaan
    3.4 km   Rechts abbiegen
    3.4 km   Dem Straßenverlauf von Pijlslaan folgen
    3.6 km   Rechts halten
    3.7 km   Links abbiegen
    3.8 km   Rechts abbiegen
    4.0 km   Leicht rechts abbiegen auf Sleedoornweg
    4.2 km   Rechts abbiegen auf Oosterduinweg
    4.2 km   Scharf links abbiegen auf Oosterduinweg
    5.1 km   Leicht rechts abbiegen auf Clematislaan
    5.1 km   Links abbiegen auf Oosterduinweg
    5.5 km   Rechts abbiegen
    5.5 km   Links abbiegen
    5.5 km   Links abbiegen
    5.5 km   Rechts abbiegen (follow 1.0 km)
    6.6 km   Scharf links abbiegen
    6.6 km   Rechts abbiegen (follow 1.1 km)
    7.6 km   Links abbiegen auf Vogelenzangseweg
    8.5 km   Rechts abbiegen auf 2e Leijweg
  ★ 8.5 km  [coffee] Leijduin
    9.0 km   Scharf rechts abbiegen auf Woestduinweg
    9.7 km   Links abbiegen auf Vogelenzangseweg
