ALKMAAR - ZAANSE SCHANS - AMSTERDAM (OOSTERDOK)    50.3 km    · signs & notes only ·

DIRECTIONS
    0.3 km   Rechts abbiegen auf Kaarsemakersgracht
    0.4 km   Links abbiegen auf Schapenbrug
    0.5 km   Scharf links abbiegen auf Waagplein
    0.5 km   Leicht rechts abbiegen auf Mient
    0.8 km   Rechts abbiegen auf Oudegracht
    0.9 km   Links abbiegen auf Ridderstraatbrug
    1.0 km   Rechts abbiegen auf Oudegracht
    1.3 km   Scharf links abbiegen auf Ritsevoort
    1.4 km   Rechts abbiegen auf Kennemerstraatweg
    1.5 km   Links abbiegen auf Kennemerstraatweg
    1.7 km   Rechts abbiegen auf Metiusgracht
    2.1 km   Scharf links abbiegen auf Prinses Julianalaan
    2.3 km   Links abbiegen auf Wilhelminalaan
    2.3 km   Links abbiegen auf Prins Bernhardlaan (follow 1.8 km)
    4.1 km   Dem Straßenverlauf von Zanderslootweg folgen
    4.7 km   Rechts abbiegen auf Willibrordusweg
    4.8 km   Rechts abbiegen auf Vinkenlaan (follow 1.0 km)
    5.8 km   Links abbiegen
    5.9 km   Im Kreisverkehr Ausfahrt 1 auf Heerenweg nehmen
    6.6 km   Links abbiegen auf Zevenhuizerlaan
    6.6 km   Rechts abbiegen auf Hoogeweg
    6.9 km   Rechts abbiegen auf Groeneweg
    7.2 km   Rechts abbiegen auf Groeneweg (follow 2.3 km)
    9.5 km   Links abbiegen auf Burgemeester Nieuwenhuijsenstraat
    9.9 km   Dem Straßenverlauf von Burgemeester Nieuwenhuijsenstraat folgen
   10.4 km   Rechts abbiegen auf Dusseldorperweg
   10.9 km   Links abbiegen auf Dusseldorperweg
   11.2 km   Scharf links abbiegen auf Schoolweg
   11.4 km   Rechts abbiegen auf Zuidkerkenlaan
   11.5 km   Rechts abbiegen
  ★ 11.6 km  [see] Hortus Bulborum — Flower garden with historical bulbs
   11.6 km   Links abbiegen auf Zuidkerkenlaan
   11.7 km   Rechts abbiegen auf Zuideinderweg
   11.9 km   Rechts abbiegen auf Hazelaantje
   12.3 km   Links abbiegen auf Provincialeweg
   12.8 km   Rechts abbiegen auf Gerbrandsven
   13.3 km   Im Kreisverkehr Ausfahrt 2 auf De Bloemen nehmen
   13.4 km   Links abbiegen auf De Bloemen
   14.1 km   Links halten
   14.5 km   Rechts abbiegen auf Nesdijk
   15.3 km   Rechts abbiegen auf Uitgeesterweg
   15.4 km   Rechts abbiegen auf Uitgeesterweg (follow 1.6 km)
   17.0 km   Rechts halten
   17.0 km   Rechts abbiegen auf Geesterweg
   17.3 km   Links abbiegen auf Molenwerf
   17.6 km   Links abbiegen auf Molenweg
   17.7 km   Leicht rechts abbiegen auf Bonkenburg
   17.8 km   Links abbiegen auf Populierenlaan
   17.9 km   Rechts abbiegen auf Hoorne
   18.0 km   Links abbiegen auf Meldijk
  ★ 18.0 km  [coffee] Bakery Putter & coffee — Open from 07.00 (except Sundays)
   18.3 km   Dem Straßenverlauf von Sluisbuurt folgen (follow 2.8 km)
  ★ 19.2 km  [food] Restaurant 'Krelis' — open after 11 am
  ★ 19.2 km  [note] Shed for wood-drying — informationpoint
  ★ 19.2 km  [restroom] restroom (no paper/no wash-basin)
  ★ 19.5 km  [coffee] restaurant Havenrijk — open after 12 am
  ★ 21.1 km  [note] Fortress — Open after 11 am - thu-sun
(+ cafe)
   21.1 km   Links abbiegen auf Krommenieweg
   21.4 km   Links abbiegen auf Krommeniedijk (follow 1.6 km)
   22.9 km   Rechts abbiegen auf Uitweg
   23.6 km   Dem Straßenverlauf von Vlusch folgen
   23.7 km   Rechts abbiegen auf Waterjuffer
   23.8 km   Rechts abbiegen auf Waterjuffer
   23.9 km   Links abbiegen auf Serooskerkestraat
   24.6 km   Dem Straßenverlauf von Weverstraat folgen
   24.7 km   Links abbiegen auf Badhuislaan
   24.9 km   Dem Straßenverlauf von Padlaan folgen
   25.5 km   Rechts abbiegen
   25.7 km   Rechts abbiegen auf Kerkstraat
   25.7 km   Links abbiegen auf Krommenieërweg
   26.4 km   Rechts abbiegen auf Krommenieërweg
   26.5 km   Leicht links abbiegen auf Marktstraat
   26.7 km   Rechts abbiegen auf Zaanweg
   27.1 km   Links abbiegen
   27.4 km   Links abbiegen auf Zaanweg
   27.5 km   Links abbiegen
   27.5 km   Links abbiegen
   27.9 km   Im Kreisverkehr Ausfahrt 1 auf Rigastraat nehmen
   28.0 km   Rechts halten auf Bordwalserstraat
   28.0 km   Leicht links abbiegen auf Bordwalserstraat
   28.1 km   Leicht links abbiegen auf Rigastraat
   28.2 km   Leicht links abbiegen auf Koetserstraat
   28.5 km   Dem Straßenverlauf von Papiermakerstraat folgen
   28.6 km   Links halten
   28.7 km   Rechts abbiegen auf Zaandammerpad
   29.1 km   Links halten auf Zaandammerpad
   29.2 km   Links abbiegen auf Engewormer
   29.7 km   Rechts abbiegen auf Kalverringdijk
   30.3 km   Links halten auf Kalverringdijk (follow 1.1 km)
  ★ 31.4 km  [bike_parking] Bike Parking
   31.4 km   Links abbiegen auf Leeghwaterweg
   31.5 km   Dem Straßenverlauf von Leeghwaterweg folgen
   31.8 km   Rechts halten auf Leeghwaterweg (follow 1.4 km)
  ★ 31.8 km  [see] Zaanse Schans: open air museum
   33.2 km   Rechts abbiegen
   33.2 km   Links abbiegen auf Leeghwaterweg
   33.2 km   Rechts abbiegen auf Zuiderweg
   33.4 km   Links halten
   33.4 km   Leicht links abbiegen auf Zuiderweg
   34.2 km   Rechts abbiegen auf Achterdichting
   34.2 km   Rechts abbiegen auf Wormerpad
   34.3 km   Leicht links abbiegen auf Wormerpad (follow 1.3 km)
   35.6 km   Links abbiegen
   35.6 km   Links abbiegen auf Wormerpad (follow 1.6 km)
   37.2 km   Leicht rechts abbiegen auf Stationsstraat
   37.8 km   Rechts abbiegen auf Ringvaart
   38.0 km   Links halten
   38.4 km   Links abbiegen
   38.5 km   Rechts halten
   39.1 km   Links halten
   39.4 km   Links abbiegen auf W T van Gelderweg
   39.5 km   Rechts abbiegen auf W T van Gelderweg
   39.6 km   Leicht links abbiegen
   39.7 km   Links halten
   39.9 km   Rechts abbiegen
   40.0 km   Links abbiegen
   40.6 km   Links abbiegen
   40.7 km   Rechts abbiegen
   41.3 km   Links halten
   41.8 km   Rechts abbiegen auf Het Luijendijkje
   42.4 km   Scharf rechts abbiegen
   42.4 km   Links halten
   42.5 km   Links halten
   42.7 km   Leicht links abbiegen auf Het Luijendijkje
   42.8 km   Dem Straßenverlauf von Het Luijendijkje folgen
   43.5 km   Links abbiegen
   44.1 km   Rechts abbiegen
   44.5 km   Rechts abbiegen auf Pieter Weerspad
   45.0 km   Rechts abbiegen auf Het Amsterdamse Pad (follow 2.2 km)
   47.2 km   Rechts abbiegen auf Noordhollandschkanaaldijk
   47.9 km   Rechts abbiegen auf Buiksloterdijk
   48.0 km   Links halten auf Buiksloterdijk
   48.0 km   Dem Straßenverlauf von Buiksloterdijk folgen
   48.0 km   Links abbiegen auf Buiksloterweg
   48.3 km   Dem Straßenverlauf von Buiksloterweg folgen (follow 1.4 km)
   49.6 km   Links abbiegen auf Buiksloterweg
   50.1 km   Links halten
   50.2 km   Links abbiegen auf Buiksloterweg
