BAMBERG - SCHWEINFURT ENG    23.1 km    · signs & notes only ·

DIRECTIONS
    0.0 km   Turn left onto Amtskellergasse
  ★ 0.0 km  [dock/stay] Docking Hassfurt
  ★ 0.1 km  [see] Zeiler Käpelle
    0.2 km   Turn left onto Heideloffplatz
    0.2 km   Turn left onto Obere Vorstadt
    0.3 km   Turn right onto Centstraße
  ★ 0.4 km  [monument] Ritterkapelle
    0.4 km   Turn sharp right onto Obere Vorstadt
    0.5 km   Turn right onto Hauptstraße
    0.7 km   Continue onto Hauptstraße, St 2275
  ★ 0.7 km  [coffee] Cafe, Restaurants, Iceshops at Hauptstraße and square.
  ★ 0.7 km  [restroom] Engelmeßgasse
    1.0 km   Turn right onto Untere Vorstadt, St 2275
    1.2 km   Turn left onto Wülflinger Straße
    1.5 km   Turn left (follow 3.1 km)
    4.6 km   Turn slight left (follow 3.2 km)
    7.8 km   Turn slight left
    8.2 km   Turn left (follow 2.3 km)
   10.5 km   Turn left (follow 2.7 km)
   13.2 km   Turn left onto Sportplatzweg
   13.3 km   Turn right
   13.6 km   Turn left (follow 3.3 km)
   16.9 km   Turn right
   16.9 km   Turn sharp left onto Jahnstraße (follow 6.1 km)
   23.1 km   Turn left
  ★ 23.1 km  [note] Schweinfurt City Center
  ★ 23.1 km  [restroom] Metzgergasse
   23.1 km   Turn right
  ★ 23.1 km  [dock/stay] Schweinfurt docking
