VEN ISLAND    17.0 km    · signs & notes only ·

DIRECTIONS
  ★ 0.0 km  [dock/stay] Mooring Bäckviken (anchor)
    0.0 km   Links abbiegen
    0.0 km   Rechts halten auf Landsvägen, M 1354 (follow 1.8 km)
  ★ 1.7 km  [see] Observatory — 16th-century observatory of astronomer Tycho Brahe
  ★ 1.8 km  [coffee] Coffee
    1.8 km   Wenden auf Landsvägen, M 1354
  ★ 1.8 km  [see] Tycho Brahe Museum
    1.9 km   Rechts abbiegen
    2.3 km   Dem Straßenverlauf von Vingesti folgen (follow 1.2 km)
    3.5 km   Links abbiegen
    3.9 km   Rechts abbiegen auf Nämndemansvägen (follow 1.2 km)
  ★ 4.2 km  [see] Historical Farm Museum
    5.0 km   Rechts abbiegen auf Landsvägen, M 1354
    5.3 km   Links abbiegen (follow 2.4 km)
    7.7 km   Rechts abbiegen auf Husviksvägen
  ★ 8.1 km  [dock/stay] Docking Norreborg (anchor)
    8.5 km   Rechts abbiegen (follow 1.4 km)
    9.9 km   Dem Straßenverlauf von Mossvägen folgen
   10.1 km   Rechts abbiegen auf Fyrvägen
   10.8 km   Rechts halten (follow 1.1 km)
  ★ 11.2 km  [dock/stay] Docking Kyrkbacken (anchor)
  ★ 11.4 km  [food] Several bars and restaurant Kyrkbackens Hamn
   12.0 km   Rechts abbiegen auf Kyrkvägen, M 1354
   13.0 km   Scharf links abbiegen auf Norreborgsvägen
  ★ 13.5 km  [bar] whiskey distillery
   13.5 km   Rechts halten auf Husviksvägen
   13.8 km   Rechts abbiegen auf Marielundsvägen
   14.6 km   Leicht rechts abbiegen auf Östanliden
   14.8 km   Links abbiegen auf Cavlingavägen
   15.3 km   Rechts abbiegen auf Cavlingavägen
   15.7 km   Links abbiegen auf Jöns Möllares väg
   16.1 km   Rechts abbiegen auf Mildahns väg
   16.6 km   Links abbiegen auf Landsvägen, M 1354
   16.9 km   Leicht links abbiegen
   17.0 km   Links halten
   17.0 km   Rechts abbiegen
