BOSRANDBRUG - AMSTERDAM (VEEMKADE)    23.0 km    · signs & notes only ·

Knooppunten: 88 · 87 · 66 · 61 · 50 · 56 · 5

DIRECTIONS
    0.6 km   Turn sharp left
    1.0 km   Turn right
    1.5 km   Turn right
    1.5 km   Turn left onto Nieuwe Meerlaan
    1.7 km   Turn left onto Schipholweg
    1.9 km   Turn left onto Burgemeester A. Colijnweg
    1.9 km   Turn right
    2.5 km   Turn right
  ★ 2.8 km  [park] Bloesemtuin
    3.0 km   Turn right
    3.8 km   Follow signs to junction 88 (exit left, heading E) toward junction 87
    4.6 km   Follow signs to junction 87 (exit right, heading NE) toward junction 66
    5.8 km   Follow signs to junction 66 via Kruitmolen, Amsteldijk Zuid (exit left, heading NE) toward junction 61
    9.2 km   Follow signs to junction 61 (exit right, heading NE) toward junction 50
  ★ 9.8 km  [food] Pancakes & Poffertjes
  ★ 9.8 km  [rest_stop] Picnic benches
  ★ 9.9 km  [coffee] Cafes Ouderkerk
   10.1 km   Turn left to junction 50 (follow 4.6 km)
   14.8 km   Follow signs to junction 56 (exit left, heading NW) toward junction 5
   17.7 km   Follow signs to junction 5 via Sarphatistraat (exit left)
  ★ 20.1 km  [rest_stop] Artisplein
  ★ 21.1 km  [bar] Brouwerij 't IJ
  ★ 22.0 km  [dock/stay] Docking Amsterdam (Oosterdok)
